QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0101100000'	  	 Pure-bred breeding horses and asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0101901000'	  	 Live horses, asses, mules and hinnies (excl. pure-bred for breeding): Race horses not for breeding	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0101909000'	  	 Live horses, asses, mules and hinnies (excl. pure-bred for breeding): Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0102101000'	  	 Pure-bred breeding bovines: Bulls; pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0102102000'	  	 Pure-bred breeding bovines: Cows: pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0102901000'	  	 Live bovine animals (excl. pure-bred for breeding): Bulls, for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0102902000'	  	 Live bovine animals (excl. pure-bred for breeding): Bulls, for rearing, weighing not more than 270 kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0102903000'	  	 Live bovine animals (excl. pure-bred for breeding): Other, bulls	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0102904000'	  	 Live bovine animals (excl. pure-bred for breeding): Cows, for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0102905000'	  	 Live bovine animals (excl. pure-bred for breeding): Cows, for rearing, weighing not more than 270 kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0102906000'	  	 Live bovine animals (excl. pure-bred for breeding): Other, cows	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0103100000'	  	 Pure-bred breeding swine	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0103911000'	  	 Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding): Other: swine for breeding weighing less than 50kg	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0103919000'	  	 Live pure-bred swine, weighing < 50 kg (excl. pure-bred for breeding): Other: swine weighing less than 50kg	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0103921000'	  	 Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding): Other swine for breeding weighing 50kg or more	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0103929000'	  	 Live pure-bred swine, weighing >= 50 kg (excl. pure-bred for breeding): Other live swine weighing 50kg or more	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0104101000'	  	 Live sheep: Sheep: for breeding	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0104102000'	  	 Live sheep: Sheep: for rearing	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0104109000'	  	 Live sheep: Other: live sheep	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0104201000'	  	 Live goats: Goats: for breeding	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0104202000'	  	 Live goats: Goats: for rearing	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0104209000'	  	 Live goats: Other live goats	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105111000'	  	 Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls): Fowls: for breeding weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105112000'	  	 Live fowls of the species Gallus domesticus, weighing <= 185 g (excl. turkeys and guinea fowls): Fowls for rearing weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105121000'	  	 Live domestic turkeys, weighing <= 185 g: Turkeys: for breeding weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105122000'	  	 Live domestic turkeys, weighing <= 185 g: Turkeys: for rearing weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105191000'	  	 Live domestic ducks, geese and guinea fowls, weighing <= 185 g: Other poultry for breeding weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010519'	 -- Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105192000'	  	 Live domestic ducks, geese and guinea fowls, weighing <= 185 g: Other: poultry for rearing weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010519'	 -- Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105199000'	  	 Live domestic ducks, geese and guinea fowls, weighing <= 185 g: Other: poultry weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010519'	 -- Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105941000'	  	 Live fowls of the species Gallus domesticus, weighing > 185: Cocks: for breeding weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105942000'	  	 Live fowls of the species Gallus domesticus, weighing > 185: Cocks: for rearing weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105943000'	  	 Live fowls of the species Gallus domesticus, weighing > 185: Hens: for breeding weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105944000'	  	 Live fowls of the species Gallus domesticus, weighing > 185: Hens: for rearing weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105949000'	  	 Live fowls of the species Gallus domesticus, weighing > 185: Other fowls of the species gallus domesticus	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105991000'	  	 Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g: Other: poultry for breeding weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 -- Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105992000'	  	 Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g: Other: poultry for rearing weighing not more than 185g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 -- Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0105999000'	  	 Live domestic ducks, geese, turkeys and guinea fowls, weighing > 185 g: Other live poultry that is to say fowls of species gallus domesticus etc	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 -- Other	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0106111000'	  	 Live primates: Monkeys	'01'	Live animals	'0106'	Other live animals.	'010611'	 -- Primates	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0106119000'	  	 Live primates: Other	'01'	Live animals	'0106'	Other live animals.	'010611'	 -- Primates	10	1	R	
	HS 2007	Harmonized System 2007	Antigua and Barbuda	'028'	2016	1	'0106120000'	  	 Live whales, dolphins and purpoises mammals of the order Cetacea" and manatees and dugongs "mammals of the order Sirenia"	'01'	Live animals	'0106'	Other live animals.	'010612'	 -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of t	10	1	R	
