QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01012100'	  	 --Reproductores de raza pura	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01012900'	  	 --Los demás	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01013000'	  	 -Asnos	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01019000'	  	 -Los demas	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01022110'	  	 Preñadas o con cría al pie	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01022190'	  	 Los demás	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01022911'	  	 Preñadas o con cría al pie	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01022919'	  	 Los demás	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01022990'	  	 Los demás	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01023110'	  	 Preñadas o con cría al pie	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01023190'	  	 Los demás	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01023911'	  	 Preñadas o con cría al pie	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01023919'	  	 Los demás	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01023990'	  	 Los demás	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01029000'	  	 -Los demás	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01031000'	  	 -Reproductores de raza pura	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01039100'	  	 --De peso inferior a 50 kg	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01039200'	  	 --De peso superior o igual a 50 kg	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	8	1	R	
	HS 2017	Harmonized System 2017	Argentina	'032'	2023	1	'01041011'	  	 Preñadas o con cría al pie	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
