QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01011100'	  	 -- Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010111'	 - - Pure-bred breeding animals	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01011900'	  	 -- Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010119'	 - - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01012000'	  	 - Asses, mules and hinnies	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010120'	 - Asses, mules and hinnies	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01021010'	  	 --- Bulls	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01021020'	  	 --- Cows	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01029010'	  	 --- For dairy purposes	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01029020'	  	 --- Bulls for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01029030'	  	 --- Cows for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01029090'	  	 --- Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01031000'	  	 - Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01039100'	  	 -- Weighing less than 50 kg (110 lb.)	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01039200'	  	 -- Weighing 50 kg (110 lb.)or more	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01041000'	  	 - Sheep	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01042000'	  	 - Goats	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01051100'	  	 -- Fowls of the species Gallus domesticus	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01051200'	  	 -- Turkeys	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 - - Turkeys	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01051910'	  	 --- Ducks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010519'	 - - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01051920'	  	 --- Geese	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010519'	 - - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01051930'	  	 --- Guinea fowls	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010519'	 - - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01059200'	  	 -- Fowls of the species Gallus domesticus, weighing not more than 2,000 g (4.41 lb.)	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010592'	 - - Fowls of the species Gallus domesticus, weighing not more than 2,000 g	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01059300'	  	 -- Fowls of the species Gallus domesticus, weighing more than 2,000 g (4.41 lb.)	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010593'	 - - Fowls of the species Gallus domesticus, weighing more than 2,000 g	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01059910'	  	 --- Turkeys	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 - - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01059920'	  	 --- Ducks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 - - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01059930'	  	 --- Geese	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 - - Other	8	Y	R	
	HS 1996	Harmonized System 1996	Bahamas	'044'	2002	1	'01059940'	  	 --- Guinea Fowls	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 - - Other	8	Y	R	
