QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01012110'	  	'02'	'000'	0.00		A			 - - - Of Arab breed	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01012190'	  	'02'	'000'	0.00		A			 - - - Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01012910'	  	'02'	'000'	0.00		A			 - - - Horses for sport	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01012920'	  	'02'	'000'	0.00		A			 - - - ponies	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01012990'	  	'02'	'000'	0.00		A			 - - - Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01013000'	  	'02'	'000'	0.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01019000'	  	'02'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01022100'	  	'02'	'000'	0.00		A			 - - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01022900'	  	'02'	'000'	0.00		A			 - - Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01023100'	  	'02'	'000'	0.00		A			 - - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01023900'	  	'02'	'000'	0.00		A			 - - Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01029000'	  	'02'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01031000'	  	'02'	'000'			P			 - Pure-bred breeding animals	Not applicable/not available	Prohibited	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01039100'	  	'02'	'000'			P			 - - Weighing less than 50 kg	Not applicable/not available	Prohibited	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01039200'	  	'02'	'000'			P			 - - Weighing 50 kg or more	Not applicable/not available	Prohibited	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01041010'	  	'02'	'000'	0.00		A			 - - - Pure- bred breeding	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01041090'	  	'02'	'000'	0.00		A			 - - - Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01042010'	  	'02'	'000'	0.00		A			 - - - Pure- bred breeding	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Bahrain, Kingdom of	'048'	2023	1	'01042090'	  	'02'	'000'	0.00		A			 - - - Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
