QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01012100'	  	 Pure-bred breeding animals of horses..	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01012900'	  	 Other horses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01013000'	  	 Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01019000'	  	 LIVE HORSES,ASSES,MULES AND HINNIES,NES	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01022100'	  	 Pure-bred breeding animals of cattle	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01022900'	  	 Other cattle	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01023100'	  	 Pure-bred breeding animals of buffalo	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01023900'	  	 Other buffalo	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01029010'	  	 Other pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01029090'	  	 Other live bovine animal	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01031000'	  	 Live Pure-Bred Breeding Swine	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01039100'	  	 Live Swine Weighing <50kg (Excl. Pure-Bred Breeding)	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01039200'	  	 Live Swine Weighing >=50kg (Excl. Pure-Bred Breeding)	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01041000'	  	 Live sheep	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01042000'	  	 Live Goats	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01051110'	  	 Fowls Of The Species Gallus Domestic(Parent Stock One Day Chick)	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01051190'	  	 Live Fowls Gallus,Domesticus<=185g, Excl.Parent Stock Of One Day Chick	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01051210'	  	 Live Turkeys Weighing <=185g, (Parent Stock Of One Day Chick)	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 - - Turkeys	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01051290'	  	 Live Turkeys Weighing <=185g, (Excl.Parent Stock Of One Day Chick)	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 - - Turkeys	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01051310'	  	 Parent stock of one day chick of ducks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 - - Ducks	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01051390'	  	 Other ducks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 - - Ducks	8	1	R	
	HS 2017	Harmonized System 2017	Bangladesh	'050'	2018	1	'01051410'	  	 Parent stock of one day chick of geese	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 - - Geese	8	1	R	
