QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010111000'	  	'02'	'000'	0.00		A			 – – pure-bred (pure-blooded) breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010119100'	  	'02'	'000'	5.00		A			 – – – for slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010119900'	  	'02'	'000'	5.00		A			 – – – other	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010120100'	  	'02'	'000'	5.00		A			 – – asses	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010120900'	  	'02'	'000'	5.00		A			 – – mules and hinnies	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010210100'	  	'02'	'000'	0.00		A			 – – – heifers (female bovines that have never calved)	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010210300'	  	'02'	'000'	0.00		A			 – –  cows	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010210900'	  	'02'	'000'	0.00		A			 – – other	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290050'	  	'02'	'000'	5.00		A			 – – – weighing not more than  80 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290210'	  	'02'	'000'	5.00		A			 – – – – for slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
