QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010111000'	  	 – – pure-bred (pure-blooded) breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010111'	 - - Pure-bred breeding animals	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010119100'	  	 – – – for slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010119'	 - - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010119900'	  	 – – – other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010119'	 - - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010120100'	  	 – – asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010120'	 - Asses, mules and hinnies	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010120900'	  	 – – mules and hinnies	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010120'	 - Asses, mules and hinnies	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010210100'	  	 – – – heifers (female bovines that have never calved)	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010210300'	  	 – –  cows	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010210900'	  	 – – other	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290050'	  	 – – – weighing not more than  80 kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290210'	  	 – – – – for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290290'	  	 – – – – other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290410'	  	 – – – – for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290490'	  	 – – – – other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290510'	  	 – – – – – for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290590'	  	 – – – – – other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290610'	  	 – – – – – for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290690'	  	 – – – – – other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290710'	  	 – – – – – for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290790'	  	 – – – – – other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010290900'	  	 – – other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010310000'	  	 – pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	9	Y	R	
	HS 1996	Harmonized System 1996	Belarus	'112'	2001	1	'010391100'	  	 – – – domestic species	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	9	Y	R	
