QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01012100'	  	 --Pure-bred breeding	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01012900'	  	 --Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01013010'	  	 ---Pure-bred breeding	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01013090'	  	 ---Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01019000'	  	 -Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01022100'	  	 --Pure-bred breeding	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01022900'	  	 --Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01023100'	  	 --Pure-bred breeding	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01023900'	  	 --Other	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01029010'	  	 ---Pure-bred breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01029090'	  	 ---Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01031000'	  	 -Pure-bred breeding	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	China	'156'	2024	1	'01039110'	  	 ---Weighing less than 10kg	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
