QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01012100'	  	 Live horses, pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01012900'	  	 Other live horses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01013000'	  	 Live asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01019000'	  	 Live mules and hinnies	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022100'	  	 Live cattle, pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01022900'	  	 Other live cattle	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01023100'	  	 Live buffalo, pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01023900'	  	 Other live buffalo	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01029010'	  	 Other live bovine animals, pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	Chinese Taipei	'158'	2024	1	'01029090'	  	 Other live bovine animals	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
