QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0101210000'	  	'02'	'000'	5.00		A			 - - Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0101291000'	  	'02'	'000'	10.00		A			 - - - Para carrera	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0101299000'	  	'02'	'000'	10.00		A			 - - - Los dem<e1>s	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0101300000'	  	'02'	'000'	10.00		A			 - Asnos	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0101900000'	  	'02'	'000'	10.00		A			 - Los dem<e1>s	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0102210010'	  	'02'	'000'	5.00		A			 - - - Hembras	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0102210020'	  	'02'	'000'	5.00		A			 - - - Machos	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0102291000'	  	'02'	'000'	10.00		A			 - - - Para lidia	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0102299010'	  	'02'	'000'	10.00		A			 - - - - Hembras	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Colombia	'170'	2024	1	'0102299020'	  	'02'	'000'	10.00		A			 - - - - Machos	Not applicable/not available	Ad valorem duty	-	Arancel Aplicado por Colombia para el Año 2022	02- MFN statutory (legal/autonomous) duty	
