QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01012100'	  	'02'	'000'	20.00		A			 -- Reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01012900'	  	'02'	'000'	20.00		A			 -- Autres	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01013010'	  	'02'	'000'	20.00		A			 --- Reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01013090'	  	'02'	'000'	20.00		A			 --- Autres	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01019000'	  	'02'	'000'	20.00		A			 - Autres	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01022100'	  	'02'	'000'	5.00		A			 -- Reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01022900'	  	'02'	'000'	5.00		A			 -- Autres	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01023100'	  	'02'	'000'	5.00		A			 -- Reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01023900'	  	'02'	'000'	5.00		A			 -- Autres	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01029000'	  	'02'	'000'	5.00		A			 - Autres	Not applicable/not available	Ad valorem duty	-	droit de douane proprement dit/spécifique	02- MFN statutory (legal/autonomous) duty	
