QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01012100'	  	 -- Reproducteurs de race pure	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01012900'	  	 -- Autres	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01013010'	  	 --- Reproducteurs de race pure	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01013090'	  	 --- Autres	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01019000'	  	 - Autres	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01022100'	  	 -- Reproducteurs de race pure	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01022900'	  	 -- Autres	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01023100'	  	 -- Reproducteurs de race pure	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01023900'	  	 -- Autres	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01029000'	  	 - Autres	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01031000'	  	 - Reproducteurs de race pure	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01039100'	  	 -- D'un poids inférieur à 50 kg	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01039200'	  	 -- D'un poids égal ou supérieur à 50 kg	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01041010'	  	 --- Reproducteurs de race pure	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01041090'	  	 ---Autres	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01042010'	  	 --- Reproducteurs de race pure	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01042090'	  	 ---Autres	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01051100'	  	 -- Coqs et poules	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01051200'	  	 -- Dindes et dindons	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 - - Turkeys	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01051300'	  	 -- Canards	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 - - Ducks	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01051400'	  	 -- Oies	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 - - Geese	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01051500'	  	 -- Pintades	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 - - Guinea fowls	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01059410'	  	 --- Coqs et poules d'un poids n'excédant pas 2.000 g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01059420'	  	 --- Coqs et poules d'un poids excédant 2.000 g	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01059900'	  	 -- Autres	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01061100'	  	 -- Primates	'01'	Live animals	'0106'	Other live animals.	'010611'	 - - Primates	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01061200'	  	 -- Baleines,dauphins et moursoins(mammifères de l'ordre des cétacés);lamantings et dugon	'01'	Live animals	'0106'	Other live animals.	'010612'	 - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of 	8	1	R	
	HS 2017	Harmonized System 2017	Comoros	'174'	2019	1	'01061300'	  	 -- Chameaux et autres camélidés (Camelidés)	'01'	Live animals	'0106'	Other live animals.	'010613'	 - - Camels and other camelids (Camelidae)	8	1	R	
