QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101210000'	  	'02'	'000'	5.00		A			 -- Chevaux vivants, reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101210000'	  	'10'	'000'	0.00		A			 -- Chevaux vivants, reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101290000'	  	'02'	'000'	10.00		A			 -- Chevaux vivants, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101290000'	  	'10'	'000'	0.00		A			 -- Chevaux vivants, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101301000'	  	'02'	'000'	5.00		A			 -- Anes vivants reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101301000'	  	'10'	'000'	0.00		A			 -- Anes vivants reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101309000'	  	'02'	'000'	10.00		A			 -- Anes vivants, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101309000'	  	'10'	'000'	0.00		A			 -- Anes vivants, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101900000'	  	'02'	'000'	10.00		A			 - Mulets et bardots vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101900000'	  	'10'	'000'	0.00		A			 - Mulets et bardots vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102210000'	  	'02'	'000'	5.00		A			 -- Bovins vivants domestiques reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102210000'	  	'10'	'000'	0.00		A			 -- Bovins vivants domestiques reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102290000'	  	'02'	'000'	10.00		A			 -- Bovins vivants domestiques, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102290000'	  	'10'	'000'	0.00		A			 -- Bovins vivants domestiques, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102310000'	  	'02'	'000'	5.00		A			 -- Buffles vivants reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102310000'	  	'10'	'000'	0.00		A			 -- Buffles vivants reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102390000'	  	'02'	'000'	10.00		A			 -- Buffles vivants, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102390000'	  	'10'	'000'	0.00		A			 -- Buffles vivants, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102900000'	  	'02'	'000'	10.00		A			 - Autres animaux vivants de l'espèce bovine autres que les bovins domestiques, les buffles	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102900000'	  	'10'	'000'	0.00		A			 - Autres animaux vivants de l'espèce bovine autres que les bovins domestiques, les buffles	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0103100000'	  	'02'	'000'	5.00		A			 - Animaux vivants de l'espèce porcine, reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0103100000'	  	'10'	'000'	0.00		A			 - Animaux vivants de l'espèce porcine, reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0103910000'	  	'02'	'000'	10.00		A			 -- Animaux vivants de l'espèce porcine, autres que reproducteurs de race pure, d'un poids inférieur à 50 kg	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0103910000'	  	'10'	'000'	0.00		A			 -- Animaux vivants de l'espèce porcine, autres que reproducteurs de race pure, d'un poids inférieur à 50 kg	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0103920000'	  	'02'	'000'	10.00		A			 -- Animaux vivants de l'espèce porcine, autres que reproducteurs de race pure, d'un poids égal ou supérieur à 50 kg	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0103920000'	  	'10'	'000'	0.00		A			 -- Animaux vivants de l'espèce porcine, autres que reproducteurs de race pure, d'un poids égal ou supérieur à 50 kg	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104101000'	  	'02'	'000'	5.00		A			 -- Animaux vivants de l'espèce ovine, reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104101000'	  	'10'	'000'	0.00		A			 -- Animaux vivants de l'espèce ovine, reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104109000'	  	'02'	'000'	10.00		A			 -- Animaux vivants de l'espèce ovine, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104109000'	  	'10'	'000'	0.00		A			 -- Animaux vivants de l'espèce ovine, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104201000'	  	'02'	'000'	5.00		A			 -- Animaux vivants de l'espèce caprine, reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104201000'	  	'10'	'000'	0.00		A			 -- Animaux vivants de l'espèce caprine, reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104209000'	  	'02'	'000'	10.00		A			 -- Animaux vivants de l'espèce caprine, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104209000'	  	'10'	'000'	0.00		A			 -- Animaux vivants de l'espèce caprine, autres que reproducteurs de race pure	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105111000'	  	'02'	'000'	5.00		A			 --- Coqs et poules vivants domestiques, reproducteurs de race pure, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105111000'	  	'10'	'000'	0.00		A			 --- Coqs et poules vivants domestiques, reproducteurs de race pure, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105119000'	  	'02'	'000'	10.00		A			 --- Coqs et poules vivants domestiques, autres que reproducteurs de race pure, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105119000'	  	'10'	'000'	0.00		A			 --- Coqs et poules vivants domestiques, autres que reproducteurs de race pure, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105120000'	  	'02'	'000'	5.00		A			 -- Dindes et dindons vivants domestiques, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105120000'	  	'10'	'000'	0.00		A			 -- Dindes et dindons vivants domestiques, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105130000'	  	'02'	'000'	5.00		A			 -- Canards vivants domestiques, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105130000'	  	'10'	'000'	0.00		A			 -- Canards vivants domestiques, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105140000'	  	'02'	'000'	5.00		A			 -- Oies domestiques vivantes, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105140000'	  	'10'	'000'	0.00		A			 -- Oies domestiques vivantes, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105150000'	  	'02'	'000'	5.00		A			 -- Pintades domestiques vivantes, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105150000'	  	'10'	'000'	0.00		A			 -- Pintades domestiques vivantes, d'un poids n'excédant pas 185 g	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105940000'	  	'02'	'000'	10.00		A			 -- Coqs et poules vivants domestiques, d'un poids excédant 185 g	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105940000'	  	'10'	'000'	0.00		A			 -- Coqs et poules vivants domestiques, d'un poids excédant 185 g	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105990000'	  	'02'	'000'	10.00		A			 -- Canards, oies, dindons, dindes et pintades vivants domestiques, d'un poids excédant 185 g	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0105990000'	  	'10'	'000'	0.00		A			 -- Canards, oies, dindons, dindes et pintades vivants domestiques, d'un poids excédant 185 g	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106110000'	  	'02'	'000'	10.00		A			 -- Primates vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106110000'	  	'10'	'000'	0.00		A			 -- Primates vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106120000'	  	'02'	'000'	10.00		A			 -- Baleines, dauphins et marsouins (...); lamantins et dugongs (...); otaries et phoques, lions de mer et morses (...) vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106120000'	  	'10'	'000'	0.00		A			 -- Baleines, dauphins et marsouins (...); lamantins et dugongs (...); otaries et phoques, lions de mer et morses (...) vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106130000'	  	'02'	'000'	10.00		A			 -- Chameaux et autres camélidés (Camelidés) vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106130000'	  	'10'	'000'	0.00		A			 -- Chameaux et autres camélidés (Camelidés) vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106140000'	  	'02'	'000'	10.00		A			 -- Lapins et lièvres vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106140000'	  	'10'	'000'	0.00		A			 -- Lapins et lièvres vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106190000'	  	'02'	'000'	10.00		A			 -- Autres mammifères vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106190000'	  	'10'	'000'	0.00		A			 -- Autres mammifères vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106200000'	  	'02'	'000'	10.00		A			 - Reptiles (y compris les serpents et les tortues de mer) vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106200000'	  	'10'	'000'	0.00		A			 - Reptiles (y compris les serpents et les tortues de mer) vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106310000'	  	'02'	'000'	10.00		A			 -- Oiseaux de proie vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106310000'	  	'10'	'000'	0.00		A			 -- Oiseaux de proie vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106320000'	  	'02'	'000'	10.00		A			 -- Psittaciformes (y compris les perroquets, perruches, aras et cacatoès) vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106320000'	  	'10'	'000'	0.00		A			 -- Psittaciformes (y compris les perroquets, perruches, aras et cacatoès) vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106330000'	  	'02'	'000'	10.00		A			 -- Autruches; émeus (Dromaius novaehollandiae) vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106330000'	  	'10'	'000'	0.00		A			 -- Autruches; émeus (Dromaius novaehollandiae) vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106390000'	  	'02'	'000'	10.00		A			 -- Autres oiseaux vivants	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106390000'	  	'10'	'000'	0.00		A			 -- Autres oiseaux vivants	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106410000'	  	'02'	'000'	5.00		A			 -- Abeilles vivantes	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106410000'	  	'10'	'000'	0.00		A			 -- Abeilles vivantes	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106490000'	  	'02'	'000'	10.00		A			 -- Insectes vivants, autres que les abeilles	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106490000'	  	'10'	'000'	0.00		A			 -- Insectes vivants, autres que les abeilles	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106900000'	  	'02'	'000'	10.00		A			 - Animaux vivants, autres que les mammifères, reptiles, oiseaux et insectes	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0106900000'	  	'10'	'000'	0.00		A			 - Animaux vivants, autres que les mammifères, reptiles, oiseaux et insectes	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0201100000'	  	'02'	'000'	35.00		A			 - Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, en carcasses ou demi-carcasses	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0201100000'	  	'10'	'000'	0.00		A			 - Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, en carcasses ou demi-carcasses	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0201200000'	  	'02'	'000'	35.00		A			 - Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, autres qu'en carcasses ou demi-carcasses, non désossées	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0201200000'	  	'10'	'000'	0.00		A			 - Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, autres qu'en carcasses ou demi-carcasses, non désossées	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0201300000'	  	'02'	'000'	35.00		A			 - Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, désossées	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0201300000'	  	'10'	'000'	0.00		A			 - Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, désossées	Not applicable/not available	Ad valorem duty	-	Economic Community of West African States (ECOWAS) duty rates	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0202100000'	  	'02'	'000'	35.00		A			 - Viandes des animaux de l'espèce bovine, congelées, en carcasses ou demi-carcasses	Not applicable/not available	Ad valorem duty	-	Droit de Douane	02- MFN statutory (legal/autonomous) duty	
