QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101210000'	  	 -- Chevaux vivants, reproducteurs de race pure	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101290000'	  	 -- Chevaux vivants, autres que reproducteurs de race pure	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101301000'	  	 -- Anes vivants reproducteurs de race pure	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101309000'	  	 -- Anes vivants, autres que reproducteurs de race pure	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0101900000'	  	 - Mulets et bardots vivants	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102210000'	  	 -- Bovins vivants domestiques reproducteurs de race pure	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102290000'	  	 -- Bovins vivants domestiques, autres que reproducteurs de race pure	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102310000'	  	 -- Buffles vivants reproducteurs de race pure	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102390000'	  	 -- Buffles vivants, autres que reproducteurs de race pure	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0102900000'	  	 - Autres animaux vivants de l'espèce bovine autres que les bovins domestiques, les buffles	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0103100000'	  	 - Animaux vivants de l'espèce porcine, reproducteurs de race pure	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0103910000'	  	 -- Animaux vivants de l'espèce porcine, autres que reproducteurs de race pure, d'un poids inférieur à 50 kg	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0103920000'	  	 -- Animaux vivants de l'espèce porcine, autres que reproducteurs de race pure, d'un poids égal ou supérieur à 50 kg	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104101000'	  	 -- Animaux vivants de l'espèce ovine, reproducteurs de race pure	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2017	Harmonized System 2017	Côte d'Ivoire	'384'	2023	1	'0104109000'	  	 -- Animaux vivants de l'espèce ovine, autres que reproducteurs de race pure	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
