QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01012100'	  	'02'	'000'	5.00		A			 --Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty scheme	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01012100'	  	'80'	'000'	10.00		A			 --Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	General duty scheme	80- General duty (higher than MFN)	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01012900'	  	'02'	'000'	5.00		A			 --Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty scheme	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01012900'	  	'80'	'000'	10.00		A			 --Los demás	Not applicable/not available	Ad valorem duty	-	General duty scheme	80- General duty (higher than MFN)	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01013000'	  	'02'	'000'	5.00		A			 -Asnos	Not applicable/not available	Ad valorem duty	-	MFN applied duty scheme	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01013000'	  	'80'	'000'	10.00		A			 -Asnos	Not applicable/not available	Ad valorem duty	-	General duty scheme	80- General duty (higher than MFN)	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01019000'	  	'02'	'000'	5.00		A			 -Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty scheme	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01019000'	  	'80'	'000'	10.00		A			 -Los demás	Not applicable/not available	Ad valorem duty	-	General duty scheme	80- General duty (higher than MFN)	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01022100'	  	'02'	'000'	0.00		A			 --Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty scheme	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Cuba	'192'	2022	1	'01022900'	  	'02'	'000'	5.00		A			 --Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty scheme	02- MFN statutory (legal/autonomous) duty	
