QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0101101000'	  	 Horses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0101109000'	  	 Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0101901100'	  	 For slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0101901900'	  	 Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0101903000'	  	 Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0101909000'	  	 Mules and hinnies	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102101010'	  	 See additional note 1	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102101090'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102103010'	  	 See additional note 1	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102103090'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102109011'	  	 See additional note 1	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102109019'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102109091'	  	 See additional note 1	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102109099'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102900511'	  	 Crossbred breeding (see additional note 1)	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102900519'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102900521'	  	 Crossbred breeding (see additional note 1)	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102900529'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102900591'	  	 Crossbred breeding (see additional note 1)	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102900599'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102902110'	  	 Cows	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102902120'	  	 Bulls	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102902190'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102902911'	  	 Crossbred breeding (see additional note 1)	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102902919'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102902921'	  	 Crossbred breeding (see additional note 1)	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102902929'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Cyprus	'196'	2002	1	'0102902991'	  	 Crossbred breeding (see additional note 1)	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
