QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01011000'	  	 Pure-bred breeding horses and asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01019010'	  	 Live horses, asses, mules and hinnies (excl. pure-bred for breeding):Race horses, not for breeding	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01019090'	  	 Live horses, asses, mules and hinnies (excl. pure-bred for breeding):Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01021010'	  	 Pure-bred breeding bovines:Bulls	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01021020'	  	 Pure-bred breeding bovines:Cows	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01029010'	  	 Live bovine animals (excl. pure-bred for breeding):Bulls, for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01029020'	  	 Live bovine animals (excl. pure-bred for breeding):Bulls, for rearing, weighing not more than 270 kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01029030'	  	 Live bovine animals (excl. pure-bred for breeding):Other, bulls	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01029040'	  	 Live bovine animals (excl. pure-bred for breeding):Cows, for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01029050'	  	 Live bovine animals (excl. pure-bred for breeding):Cows, for rearing, weighing not more than 270 kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01029060'	  	 Live bovine animals (excl. pure-bred for breeding):Other, cows	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Dominica	'212'	2016	1	'01031000'	  	 Pure-bred breeding swine	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
