QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0101210000'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0101290000'	  	 - - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0101300000'	  	 - Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0101900000'	  	 - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0102210000'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0102290000'	  	 - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0102310000'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0102390000'	  	 - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0102900000'	  	 - Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0103100000'	  	 - Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0103910000'	  	 - - Weighing less than 50 kg	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0103920000'	  	 - - Weighing 50 kg or more	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0104100010'	  	 Pure-bred breeding live sheep animals.	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0104100090'	  	 Live sheep animals, for not breeding.	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0104200000'	  	 - Goats	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0105110000'	  	 - - Fowls of the species Gallus domesticus	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0105120000'	  	 - - Turkeys	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 - - Turkeys	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0105130000'	  	 - - Ducks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 - - Ducks	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0105140000'	  	 - - Geese	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 - - Geese	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0105150000'	  	 - - Guinea fowls	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 - - Guinea fowls	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0105940010'	  	 Live poultry fowls of the species gallus domesticus by weighing more than 185 g, for raising.	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 - - Fowls of the species Gallus domesticus	10	1	R	
	HS 2017	Harmonized System 2017	Egypt	'818'	2019	1	'0105940090'	  	 Live poultry fowls of the species gallus domesticus by weighing more than 185 g, for not raising.	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 - - Fowls of the species Gallus domesticus	10	1	R	
