QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01012100000'	  	 -- Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01012910000'	  	 – – –For slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01012990000'	  	 – – –Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01013000000'	  	 - Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01019000000'	  	 – Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022110000'	  	 – – –Heifers (female bovines that have never calved)	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022130000'	  	 – – –Cows	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022190000'	  	 – – –Other	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022905000'	  	 –––Of the sub-genus Bibos or of the sub-genus Poephagus	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022910000'	  	 – – – –Of a weight not exceeding 80 kg	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022921000'	  	 – – – – –For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022929000'	  	 – – – –Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022941000'	  	 – – – – –For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022949000'	  	 – – – – –Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022951000'	  	 – – – – – – For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022959000'	  	 – – – – – – Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022961000'	  	 – – – – – – For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022969000'	  	 – – – – – – Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022991000'	  	 – – – – – – For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01022999000'	  	 – – – – – – Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01023100000'	  	 – –Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01023910000'	  	 – – –Domestic species	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01023990000'	  	 – – –Other	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01029020000'	  	 – –Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01029091000'	  	 – – –Domestic species	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01029099000'	  	 – – –Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01031000000'	  	 –Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01039110000'	  	 – – –Domestic species	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01039190000'	  	 – – –Other	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01039211000'	  	 – – – –Sows having farrowed at least once, of a weight of not less than 160 kg	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01039219000'	  	 – – – –Other	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01039290000'	  	 – – –Other	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01041010000'	  	 – –Pure-bred breeding animals	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01041030000'	  	 – – –Lambs (up to a year old	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01041080000'	  	 – – –Other	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01042010000'	  	 – –Pure-bred breeding animals	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01042090000'	  	 – – Other	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01051111000'	  	 – – – –Laying stocks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01051119000'	  	 – – – – Other	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01051191000'	  	 – – – –Laying stocks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01051199000'	  	 – – – – Other	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01051200000'	  	 – – Turkeys	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 - - Turkeys	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01051300000'	  	 – – Ducks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 - - Ducks	11	1	R	
	HS 2017	Harmonized System 2017	Georgia	'268'	2023	1	'01051400000'	  	 – – Geese	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 - - Geese	11	1	R	
