QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01012100'	  	 Live horses, asses, mules and hinnies: Horses: Pure-bred breeding animals	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01012910'	  	 Live horses, asses, mules and hinnies: Horses: Other: Race horses, not for breeding	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01012990'	  	 Live horses, asses, mules and hinnies: Horses: Other: Other	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01013010'	  	 Live horses, asses, mules and hinnies: Asses: Pure-bred breeding animals	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01013090'	  	 Live horses, asses, mules and hinnies: Asses: Other	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01019000'	  	 Live horses, asses, mules and hinnies: Other	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01022110'	  	 Live bovine animals: Cattle: Pure-bred breeding animals: Bulls	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01022120'	  	 Live bovine animals: Cattle: Pure-bred breeding animals: Cows	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01022910'	  	 Live bovine animals: Cattle: Other: Bulls, for breeding	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01022920'	  	 Live bovine animals: Cattle: Other: Bulls, for rearing, weighing not more than 270 kg	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01022930'	  	 Live bovine animals: Cattle: Other: Other bulls	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01022940'	  	 Live bovine animals: Cattle: Other: Cows, for breeding	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01022950'	  	 Live bovine animals: Cattle: Other: Cows, for rearing, weighing not more than 270 kg	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01022960'	  	 Live bovine animals: Cattle: Other: Other cows	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01023100'	  	 -- Pure-bred breeding animals	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	8	1	A	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01023900'	  	 -- Other	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010239'	 -- Other	8	1	A	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01029000'	  	 - Other	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	8	1	A	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01031000'	  	 Live swine: Purebred breeding animals	'01'	LIVE ANIMALS	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01039110'	  	 Live swine: Other: Weighing less than 50 kg: For breeding	'01'	LIVE ANIMALS	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01039190'	  	 Live swine: Other: Weighing less than 50 kg: Other	'01'	LIVE ANIMALS	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01039210'	  	 Live swine: Other: Weighing 50 kg or more: For breeding	'01'	LIVE ANIMALS	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01039290'	  	 Live swine: Other: Weighing 50 kg or more: Other	'01'	LIVE ANIMALS	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01041010'	  	 Live sheep and goats: Sheep: For breeding	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01041020'	  	 Live sheep and goats: Sheep: For rearing	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01041090'	  	 Live sheep and goats: Sheep: Other	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01042010'	  	 Live sheep and goats: Goats: For breeding	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01042020'	  	 Live sheep and goats: Goats: For rearing	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01042090'	  	 Live sheep and goats: Goats: Other	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2012	Harmonized System 2012	Grenada	'308'	2016	1	'01051110'	  	 Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls: Weighing not more than 185 g: Fowls of the species Gallus domesticus: For breeding	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	8	1	R	
