QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101210000'	  	'02'	'000'	0.00		A			 - - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101291000'	  	'02'	'000'	45.00		A			 - - - Race horses, not for breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101291000'	  	'10'	'000'	0.00		A			 - - - Race horses, not for breeding	Not applicable/not available	Ad valorem duty	-	Caribbean Community and Common Market (CARICOM)	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101299000'	  	'02'	'000'	40.00		A			 - - - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101299000'	  	'10'	'000'	0.00		A			 - - - Other	Not applicable/not available	Ad valorem duty	-	Caribbean Community and Common Market (CARICOM)	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101301000'	  	'02'	'000'	0.00		A			 - - - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101309000'	  	'02'	'000'	40.00		A			 - - - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101309000'	  	'10'	'000'	0.00		A			 - - - Other	Not applicable/not available	Ad valorem duty	-	Caribbean Community and Common Market (CARICOM)	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101900000'	  	'02'	'000'	40.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101900000'	  	'10'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	Caribbean Community and Common Market (CARICOM)	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102211000'	  	'02'	'000'	0.00		A			 - - - Bulls	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102212000'	  	'02'	'000'	0.00		A			 - - - Cows	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102291000'	  	'02'	'000'	0.00		A			 - - - Bulls, for breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102292000'	  	'02'	'000'	0.00		A			 - - - Bulls, for rearing, weighing notmore than 270 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102293000'	  	'02'	'000'	40.00		A			 - - - Other bulls	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102293000'	  	'10'	'000'	0.00		A			 - - - Other bulls	Not applicable/not available	Ad valorem duty	-	Caribbean Community and Common Market (CARICOM)	10- Preferential duties: Free-trade area	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102294000'	  	'02'	'000'	0.00		A			 - - - Cows, for breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102295000'	  	'02'	'000'	0.00		A			 - - - Cows, for rearing, weighing not more than270 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102296000'	  	'02'	'000'	40.00		A			 - - - Other cows	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
