QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101210000'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101291000'	  	 - - - Race horses, not for breeding	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101299000'	  	 - - - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101301000'	  	 - - - Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101309000'	  	 - - - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0101900000'	  	 - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102211000'	  	 - - - Bulls	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102212000'	  	 - - - Cows	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102291000'	  	 - - - Bulls, for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102292000'	  	 - - - Bulls, for rearing, weighing notmore than 270 kg	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102293000'	  	 - - - Other bulls	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102294000'	  	 - - - Cows, for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102295000'	  	 - - - Cows, for rearing, weighing not more than270 kg	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102296000'	  	 - - - Other cows	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102310000'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102390000'	  	 - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0102900000'	  	 - Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0103100000'	  	 - Pure bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0103911000'	  	 - - - For breeding	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0103919000'	  	 - - - Other	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0103921000'	  	 - - - For breeding	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	10	1	R	
	HS 2017	Harmonized System 2017	Guyana	'328'	2022	1	'0103929000'	  	 - - - Other	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	10	1	R	
