QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0101210000'	  	 reproductores de raza pura	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0101290000'	  	 los demas	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0101300000'	  	 asnos	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0101900000'	  	 los demas	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0102210000'	  	 reproductores de raza pura	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0102290000'	  	 los demas	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0102310000'	  	 reproductores de raza pura	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0102390000'	  	 los demas	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0102901000'	  	 reproductores de raza pura	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0102909000'	  	 otros	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0103100000'	  	 reproductores de raza pura	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0103910000'	  	 de peso inferior a 50 kg	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0103920000'	  	 de peso superior o igual a 50 kg	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0104101000'	  	 reproductores de raza pura	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0104109000'	  	 otros	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0104201000'	  	 reproductores de raza pura	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0104209000'	  	 otros	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0105110000'	  	 aves de la especie gallus domesticus	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0105120000'	  	 pavos (gallipavos)	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0105130000'	  	 patos	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 -- Ducks	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0105140000'	  	 gansos	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 -- Geese	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0105150000'	  	 pintadas	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 -- Guinea fowls	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0105940000'	  	 aves de la especie gallus domesticus	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0105990000'	  	 los demas	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106110000'	  	 primates	'01'	Live animals	'0106'	Other live animals.	'010611'	 -- Primates	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106120000'	  	 de ballenas, delfines y marsopas (mamiferos del orden cetacea); de manaties y dugones o dugongos (mamiferos del orden sirenia); de otarios y focas, leones marinos y morsas (mamiferos del suborden pinnipedia)	'01'	Live animals	'0106'	Other live animals.	'010612'	 -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of t	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106130000'	  	 camellos y demas camelidos (camelidae)	'01'	Live animals	'0106'	Other live animals.	'010613'	 -- Camels and other camelids (Camelidae)	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106140000'	  	 conejos y liebres	'01'	Live animals	'0106'	Other live animals.	'010614'	 -- Rabbits and hares	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106190000'	  	 los demas	'01'	Live animals	'0106'	Other live animals.	'010619'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106200000'	  	 reptiles (incluidas las serpientes y tortugas de mar)	'01'	Live animals	'0106'	Other live animals.	'010620'	 - Reptiles (including snakes and turtles)	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106310000'	  	 aves de rapina	'01'	Live animals	'0106'	Other live animals.	'010631'	 -- Birds of prey	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106320000'	  	 psitaciformes (incluidos los loros, guacamayos, cacatuas y demas papagayos)	'01'	Live animals	'0106'	Other live animals.	'010632'	 -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106330000'	  	 avestruces; emues (dromaius novaehollandiae)	'01'	Live animals	'0106'	Other live animals.	'010633'	 -- Ostriches; emus (Dromaius novaehollandiae)	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106390000'	  	 las demas	'01'	Live animals	'0106'	Other live animals.	'010639'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106410000'	  	 abejas	'01'	Live animals	'0106'	Other live animals.	'010641'	 -- Bees	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106490000'	  	 los demas	'01'	Live animals	'0106'	Other live animals.	'010649'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0106900000'	  	 los demas	'01'	Live animals	'0106'	Other live animals.	'010690'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201100000'	  	 en canales o medias canales	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020110'	 - Carcasses and half-carcasses	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201200000'	'00'	 prime & choice /2	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020120'	 - Other cuts with bone in	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201200000'	'01'	 prime, aaa	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020120'	 - Other cuts with bone in	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201200000'	'02'	 aa, a	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020120'	 - Other cuts with bone in	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201200000'	'03'	 los demas cortes (trozos) sin deshuesar	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020120'	 - Other cuts with bone in	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201200000'	'04'	 los demas cortes (trozos) sin deshuesar	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020120'	 - Other cuts with bone in	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201300000'	'00'	 prime & choice /2	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020130'	 - Boneless	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201300000'	'01'	 prime, aaa	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020130'	 - Boneless	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201300000'	'02'	 aa, a	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020130'	 - Boneless	10	1	R	
	HS 2022	Harmonized System 2022	Honduras	'340'	2023	1	'0201300000'	'03'	 deshuesada	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020130'	 - Boneless	10	1	R	
