QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01012100'	  	'02'	'000'	0.00		A			 LIVE HORSES, FOR PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01012910'	  	'02'	'000'	0.00		A			 LIVE HORSES, FOR RACING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01012990'	  	'02'	'000'	0.00		A			 LIVE HORSES, OTHER THAN THOSE FOR PURE-BRED BREEDING OR RACING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01013000'	  	'02'	'000'	0.00		A			 LIVE ASSES	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01019000'	  	'02'	'000'	0.00		A			 LIVE MULES AND HINNIES	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01022100'	  	'02'	'000'	0.00		A			 LIVE CATTLE, FOR PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01022900'	  	'02'	'000'	0.00		A			 LIVE CATTLE, OTHER THAN THOSE FOR PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01023100'	  	'02'	'000'	0.00		A			 LIVE BUFFALO, FOR PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01023900'	  	'02'	'000'	0.00		A			 LIVE BUFFALO, OTHER THAN THOSE FOR PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01029000'	  	'02'	'000'	0.00		A			 LIVE BOVINE ANIMALS, NESOI	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
