QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01012100'	  	 LIVE HORSES, FOR PURE-BRED BREEDING	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01012910'	  	 LIVE HORSES, FOR RACING	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01012990'	  	 LIVE HORSES, OTHER THAN THOSE FOR PURE-BRED BREEDING OR RACING	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01013000'	  	 LIVE ASSES	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01019000'	  	 LIVE MULES AND HINNIES	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01022100'	  	 LIVE CATTLE, FOR PURE-BRED BREEDING	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01022900'	  	 LIVE CATTLE, OTHER THAN THOSE FOR PURE-BRED BREEDING	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01023100'	  	 LIVE BUFFALO, FOR PURE-BRED BREEDING	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01023900'	  	 LIVE BUFFALO, OTHER THAN THOSE FOR PURE-BRED BREEDING	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01029000'	  	 LIVE BOVINE ANIMALS, NESOI	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01031000'	  	 SWINE, LIVE, PURE-BRED BREEDING	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Hong Kong, China	'344'	2024	1	'01039110'	  	 SWINE, LIVE, NESOI, WEIGHING LESS THAN 10 KG EACH	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
