QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0101210000'	  	'02'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0101290000'	  	'02'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0101300000'	  	'02'	'000'	0.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0101900000'	  	'02'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102210000'	  	'02'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102291000'	  	'02'	'000'	0.00		A			 ---Which average weight does not exceed 240 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102292000'	  	'02'	'000'		25.00 NIS per Each	S			 ---Which average weight exceeds 240 kg and does not exceed 250 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102293000'	  	'02'	'000'	0.00		A			 Which will be released from custom's supervision until 31.12.2021	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102299000'	  	'02'	'000'		1.15 NIS per Kilogram	S			 OTHERS	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102310000'	  	'02'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102391000'	  	'02'	'000'	0.00		A			 ---Which average weight does not ecxeed 240 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102392000'	  	'02'	'000'		25.00 NIS per Each	S			 Which average weight exceeds 240 kg and does not exceed 250 kg and Director General of Ministry of Agriculture and Rural Development	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102393000'	  	'02'	'000'	0.00		A			 Which will be released from custom's supervision until 31.12.2021	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102399000'	  	'02'	'000'		1.15 NIS per Kilogram	S			 Others	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102903000'	  	'02'	'000'	0.00		A			 Which will be released from custom's supervision until 31.12.2021	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102904000'	  	'02'	'000'	0.00		A			 ---Which average weight does not ecxeed 240 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102905000'	  	'02'	'000'		25.00 NIS per Each	S			 ---Which average weight exceeds 240 kg and does not exceed 250 kg and Director General of Ministry of Agriculture and Rural Development approved that they are intented for growing	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0102908000'	  	'02'	'000'		1.15 NIS per Kilogram	S			 OTHERS	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0103100000'	  	'02'	'000'	0.00		A			 - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0103911000'	  	'02'	'000'	0.00		A			 ,Of the kind Minipig for research purposes only accompanied by a certificate of their health and (genetics (APPROVED HEALTH MONITORING REPORT - in accordance with the instructions of FELASA Federation of European Laboratory Animal Science Associations	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0103919000'	  	'02'	'000'	30.00		A			 Others	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0103920000'	  	'02'	'000'	30.00		A			 -- Weighing 50 kg or more	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0104101000'	  	'02'	'000'	0.00		A			 Intended for the cultivation of the race	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0104109000'	  	'02'	'000'		6.22 NIS per Kilogram but no more than 170%	M			 Other	Not applicable/not available	Mixed duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0104201000'	  	'02'	'000'	0.00		A			 Intended for the cultivation of the race	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0104209000'	  	'02'	'000'	170.00		A			 Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Israel	'376'	2022	1	'0105110000'	  	'02'	'000'	0.00		A			 -- Fowls of the species Gallus domesticus	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
