QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0101211000'	  	 For farm breeding	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0101219000'	  	 Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0101291000'	  	 Horses for racing	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0101299000'	  	 Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0101300000'	  	 Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0101900000'	  	 Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0102211000'	  	 For milk	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0102212000'	  	 For meat	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0102219000'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Korea, Republic of	'410'	2024	1	'0102291000'	  	 For milk	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
