QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010110100'	  	 --Horses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010110900'	  	 --Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010190110'	  	 ---For slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010190190'	  	 ---Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010190300'	  	 -- Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010190900'	  	 --Mules and hinnies	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010210100'	  	 --Heifers (female bovines that have never calved)	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010210300'	  	 --Cows	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010210900'	  	 --Other	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290050'	  	 ---Of a weight not exceeding 80 kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290210'	  	 ----For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290290'	  	 ----Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290410'	  	 ----For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290490'	  	 ----Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290510'	  	 -----For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290590'	  	 -----Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290610'	  	 -----For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290690'	  	 -----Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290710'	  	 -----For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290790'	  	 -----Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010290900'	  	 --Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010310000'	  	 -Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010391100'	  	 ---Domestic species	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010391900'	  	 ---Other	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	9	Y	R	
	HS 2002	Harmonized System 2002	Lithuania	'440'	2002	1	'010392110'	  	 ----Sows having farrowed at least once, of a weight of not less than 160 kg	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	9	Y	R	
