QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01012100'	  	'02'	'000'	0.00		A			 Live horses, for pure-bred breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01012900'	  	'02'	'000'	0.00		A			 Live horses, other than those for pure-bred breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01013000'	  	'02'	'000'	0.00		A			 Live asses	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01019000'	  	'02'	'000'	0.00		A			 Live mules and hinnies	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01022100'	  	'02'	'000'	0.00		A			 Live cattle, for pure-bred breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01022900'	  	'02'	'000'	0.00		A			 Live cattle, other than that for pure-bred breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01023100'	  	'02'	'000'	0.00		A			 Live buffalo, for pure-bred breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01023900'	  	'02'	'000'	0.00		A			 Live buffalo, other than that for pure-bred breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01029000'	  	'02'	'000'	0.00		A			 Live bovine animals, other than cattle or buffalo	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01031000'	  	'02'	'000'	0.00		A			 Live swine, for pure-bred breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01039100'	  	'02'	'000'	0.00		A			 Live swine, each weighing less than 50 kg, other than that for pure-bred breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01039200'	  	'02'	'000'	0.00		A			 Live swine, each weighing 50 kg or more, other than that for pure-bred breeding	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01041000'	  	'02'	'000'	0.00		A			 Live sheep	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01042000'	  	'02'	'000'	0.00		A			 Live goats	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01051100'	  	'02'	'000'	0.00		A			 Live fowls of the species Gallus domesticus, weighing not more than 185 g	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01051200'	  	'02'	'000'	0.00		A			 Live turkeys, weighing not more than 185 g	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01051300'	  	'02'	'000'	0.00		A			 Live ducks, weighing not more than 185 g	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01051400'	  	'02'	'000'	0.00		A			 Live geese, weighing not more than 185 g	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01051500'	  	'02'	'000'	0.00		A			 Live guinea fowls, weighing not more than 185 g	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01059400'	  	'02'	'000'	0.00		A			 Live fowls of the species Gallus domesticus, weighing more than 185 g	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01059900'	  	'02'	'000'	0.00		A			 Live ducks, geese, turkeys and guinea fowls, weighing more than 185 g	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01061100'	  	'02'	'000'	0.00		A			 Live primates	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01061200'	  	'02'	'000'	0.00		A			 Live whales, dolphins and porpoises (mammals of the order Cetacea); live manatees and dugongs (mammals of the order Sirenia); live seals, sea lions and walruses (mammals of the suborder Pinnipedia)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01061300'	  	'02'	'000'	0.00		A			 Live camels and other camelids (Camelidae)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01061400'	  	'02'	'000'	0.00		A			 Live rabbits and hares	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Macao, China	'446'	2024	1	'01061900'	  	'02'	'000'	0.00		A			 Live mammals, nesoi	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
