QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01012100'	  	 --HORSES PURE-BRED BREEDING ANIMALS	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01012900'	  	 --OTHER	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01013000'	  	 -ASSES	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01019000'	  	 OTHER LIVE ANIMALS;NES	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01022100'	  	 --CATTLE PURE-BRED BREEDING ANIMALS	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01022900'	  	 --OTHER	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01023100'	  	 --BUFFALO PURE-BRED BREEDING ANOMALS	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01023900'	  	 --OTHER	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010239'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01029000'	  	 -LIVE BOVINE ANIMALS,OTHER THAN PURE-BRED BREEDING	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01031000'	  	 -LIVE PURE-BRED BREEDING SWINE	'01'	LIVE ANIMALS	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01039100'	  	 --LIVE SWINE WEIGHING LESS THAN 50KG (EXCL.PURE-BRED BREEDING)	'01'	LIVE ANIMALS	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01039200'	  	 --LIVE SWINE WEIGHING 50KG OR MORE (EXCL.PURE-BRED BREEDING.)	'01'	LIVE ANIMALS	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01041010'	  	 ---SHEEP PURE BRED BREEDING ANIMALS	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01041090'	  	 ---OTHER	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01042010'	  	 ---GOATS PURE BRED BREEDING ANIMALS	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01042090'	  	 ---OTHER	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01051100'	  	 --LIVE FOWLS OF SPECIES GALLUS DOMESTICUS,WEIGHING NOT MORE THAN 185G(CHICKS	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01051200'	  	 --LIVE TURKEYS WEIGHING NOT MORE THAN 185G	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01051300'	  	 --DUCKS	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 -- Ducks	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01051400'	  	 --GEESE	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 -- Geese	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01051500'	  	 --GUINEA FOWLS	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 -- Guinea fowls	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01059400'	  	 LIVE FOWLS OF SPECIES GALLUS DOMESTICUS	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01059900'	  	 LIVE DUCKS, GEESE, TURKEYS AND GUINEA FOWLS WEIGHING >185G	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01061100'	  	 LIVE PRIMATES	'01'	LIVE ANIMALS	'0106'	Other live animals.	'010611'	 -- Primates	8	1	R	
	HS 2012	Harmonized System 2012	Malawi	'454'	2017	1	'01061200'	  	 --WHALES,DOLPHINS & PORPOISES(CETACEA);MANATEES & DUGONGS(SIRENIA);SEALS,SEALIONS & WALR	'01'	LIVE ANIMALS	'0106'	Other live animals.	'010612'	 -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of t	8	1	R	
