QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101210000'	  	'02'	'000'	25.00		A			 PURE-BRED BREEDING HORSES	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101210000'	  	'10'	'000'	5.00		A			 PURE-BRED BREEDING HORSES	Not applicable/not available	Ad valorem duty	-	South Asian Free Trade Agreement (SAFTA)	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101290000'	  	'02'	'000'	25.00		A			 HORSES, OTHER THAN PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101290000'	  	'10'	'000'	5.00		A			 HORSES, OTHER THAN PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	South Asian Free Trade Agreement (SAFTA)	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101300000'	  	'02'	'000'	25.00		A			 ASSES	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101300000'	  	'10'	'000'	5.00		A			 ASSES	Not applicable/not available	Ad valorem duty	-	South Asian Free Trade Agreement (SAFTA)	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101900000'	  	'02'	'000'	25.00		A			 LIVE MULES AND HINNIES	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101900000'	  	'10'	'000'	5.00		A			 LIVE MULES AND HINNIES	Not applicable/not available	Ad valorem duty	-	South Asian Free Trade Agreement (SAFTA)	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102210000'	  	'02'	'000'	25.00		A			 PURE-BRED BREEDING CATTLE	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102210000'	  	'10'	'000'	5.00		A			 PURE-BRED BREEDING CATTLE	Not applicable/not available	Ad valorem duty	-	South Asian Free Trade Agreement (SAFTA)	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102290000'	  	'02'	'000'	25.00		A			 LIVE CATTLE, OTHER THAN PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102290000'	  	'10'	'000'	5.00		A			 LIVE CATTLE, OTHER THAN PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	South Asian Free Trade Agreement (SAFTA)	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102310000'	  	'02'	'000'	25.00		A			 LIVE PURE-BRED BREEDING BUFFALO	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102310000'	  	'10'	'000'	5.00		A			 LIVE PURE-BRED BREEDING BUFFALO	Not applicable/not available	Ad valorem duty	-	South Asian Free Trade Agreement (SAFTA)	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102390000'	  	'02'	'000'	25.00		A			 LIVE BUFFALO, OTHER THAN PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102390000'	  	'10'	'000'	5.00		A			 LIVE BUFFALO, OTHER THAN PURE-BRED BREEDING	Not applicable/not available	Ad valorem duty	-	South Asian Free Trade Agreement (SAFTA)	10- Preferential duties: Free-trade area	
