QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101210000'	  	 PURE-BRED BREEDING HORSES	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101290000'	  	 HORSES, OTHER THAN PURE-BRED BREEDING	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101300000'	  	 ASSES	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0101900000'	  	 LIVE MULES AND HINNIES	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102210000'	  	 PURE-BRED BREEDING CATTLE	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102290000'	  	 LIVE CATTLE, OTHER THAN PURE-BRED BREEDING	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102310000'	  	 LIVE PURE-BRED BREEDING BUFFALO	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102390000'	  	 LIVE BUFFALO, OTHER THAN PURE-BRED BREEDING	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0102900000'	  	 LIVE BOVINE ANIMALS EXCLUDING CATTLE AND BUFFALO	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Maldives	'462'	2023	1	'0103100000'	  	 PURE-BRED BREEDING ANIMALS OF SWINE	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	1	R	
