QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101101000'	  	'02'	'000'	0.00		A			 Live Pure-Bred Breeding Horses	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101109000'	  	'02'	'000'	10.00		A			 Live Pure-Bred Breeding Equines (Excluding Horses)	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101901100'	  	'02'	'000'	4.00		A			 Live Horses For Slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101901910'	  	'02'	'000'	10.00		A			 Live Horses For Sport Not Pure-Bred Breeding Horses Not For Slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101901990'	  	'02'	'000'	10.00		A			 Live Horses Not For Sport Not Pure-Bred Breeding Horses Not For Slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101903000'	  	'02'	'000'	10.00		A			 Live Asses Not Pure-Bred Breeding Animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101909000'	  	'02'	'000'	10.00		A			 Live Mules And Hinnies	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102101000'	  	'02'	'000'	0.00		A			 Live Pure-Bred Breeding Heifers (Female Bovines That Have Never Calved)	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102103000'	  	'02'	'000'	0.00		A			 Live Pure-Bred Breeding Cows, Excluding Heifers Of Hs 01021010	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102109000'	  	'02'	'000'	0.00		A			 Live Pure-Bred Breeding Bovines,Excluding Cows & Heifers Of Hs01021010-30	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102900500'	  	'02'	'000'	0.00		A			 Live Domestic Bovines, Not Pure-Bred Breeding Stock, Of A Weight =< 80Kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102902100'	  	'02'	'000'	0.00		A			 Live Domestic Bovines For Slaughter, Weigth >80Kg,=<160Kg, Not Pure-Bred	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102902900'	  	'02'	'000'	10.00		A			 Live Domestic Bovines,Weight >80Kg,=<160Kg,Not Pure-Bred,Not For Slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty	02- MFN statutory (legal/autonomous) duty	
