QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101101000'	  	 Live Pure-Bred Breeding Horses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101109000'	  	 Live Pure-Bred Breeding Equines (Excluding Horses)	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101901100'	  	 Live Horses For Slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101901910'	  	 Live Horses For Sport Not Pure-Bred Breeding Horses Not For Slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101901990'	  	 Live Horses Not For Sport Not Pure-Bred Breeding Horses Not For Slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101903000'	  	 Live Asses Not Pure-Bred Breeding Animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0101909000'	  	 Live Mules And Hinnies	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102101000'	  	 Live Pure-Bred Breeding Heifers (Female Bovines That Have Never Calved)	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102103000'	  	 Live Pure-Bred Breeding Cows, Excluding Heifers Of Hs 01021010	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102109000'	  	 Live Pure-Bred Breeding Bovines,Excluding Cows & Heifers Of Hs01021010-30	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102900500'	  	 Live Domestic Bovines, Not Pure-Bred Breeding Stock, Of A Weight =< 80Kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102902100'	  	 Live Domestic Bovines For Slaughter, Weigth >80Kg,=<160Kg, Not Pure-Bred	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102902900'	  	 Live Domestic Bovines,Weight >80Kg,=<160Kg,Not Pure-Bred,Not For Slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102904100'	  	 Live Domestic Bovines For Slaughtrer, Weight >160Kg,=<300Kg, Not Pure-Bred	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102904900'	  	 Live Domestic Bovines,Weight>160Kg,=<300Kg,Not For Slaughter,Not Pure-Bred	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102905100'	  	 Live Domestic Heifers For Slaughter, Weight >300Kg, Not Pure-Bred Breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102905900'	  	 Live Domestic Heifers, Wt >300Kg,Not Pure-Bred Breeding, Not For Slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102906100'	  	 Live Domestic Cows For Slaughter,Weight > 300Kg,Not Heifers,Not Pure-Bred	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102906900'	  	 Live Domestic Cows,Weight > 300Kg,Not Heifers,Not For Slaughter/Pure-Bred	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102907100'	  	 Live Domestic Bovines For Slaughter,Weight >300Kg,Not Cows, Not Pure-Bred	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102907900'	  	 Live Domestic Bovines,Weight >300Kg,Not Cows,Not For Slaughter / Pure-Bred	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0102909000'	  	 Live Bovines, Of Non-Domestic Species, Not Pure-Bred For Breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0103100000'	  	 Live Pure-Bred Breeding Swine	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0103911000'	  	 Live Domestic Swine, Weight < 50Kg, Not Pure-Bred Breeding Animals	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0103919000'	  	 Live Swine, Weight < 50 Kg,Not Of The Domestic Type,Not Pure-Bred Breeders	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0103921100'	  	 Live Domestic Sows Which Have Already Farrowed,Weight=>160Kg,Not Pure-Bred	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0103921900'	  	 Live Domestic Swine,Weight=>50Kg,Not Pure-Bred Breeders,Excl Of Hs01039211	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0103929000'	  	 Live Swine,Not Of The Domestic Type,Weight=>50Kg,Not Pure-Bred Breeders	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0104101000'	  	 Live Pure-Bred Breeding Sheep	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0104103000'	  	 Live Lambs (Up To One Year Old), Excluding Pure-Bred Breeding Animals	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0104108000'	  	 Live Sheep, Over One Year Old, Excluding Pure-Bred Breeding Animals	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0104201000'	  	 Live Pure-Bred Breeding Goats	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0104209000'	  	 Live Goats, Excluding Pure-Bred Breeding Animals	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105111110'	  	 Live Laying Parent Chicks(Gallus Dom) Wt=<185Gm For Sport,Recreation,Hobby	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105111190'	  	 Live Laying Parent Chicks(Gallus Domesticus) Wt=<185Gm Not Of Hs0105111110	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105111910'	  	 Live Female Parent Chicks Not Layers Wt=<185Gm For Sport,Recreation,Hobby	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105111990'	  	 Live Female Parent Chicks(Gallus D)*Not Layers*Wt=<185Gm*Nes In 0105111910	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105119110'	  	 Live Laying Chicks(Gallus D)*Wt=<185Gm*Nes*For Sport,Recreation Or Hobby	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105119190'	  	 Live Laying Chicks(Gallus Dom)*Wt=<185Gm*Not Of Hs 0105111110 / Hs 0105119110	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105119910'	  	 Live Chicks(Gallus D)*Wt=<185Gm*For Sport/Recreation/Hobby*Not Layers*Nes	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105119990'	  	 Live Chicks(Gallus D)*Not Laying Stock*Wt=<185Gm*Nes In Hs0105111910-9910	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105120010'	  	 Live Turkeys*Weight=<185Gm*Kept For Sport,Recreation Or Hobby	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105120090'	  	 Live Turkeys*Weight=<185Gm*Not For Sport,Recreation Or Hobby	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105192010'	  	 Live Geese*Wt=<185Gm*Kept For Sport,Recreation Or Hobby	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010519'	 -- Other	10	Y	R	
	HS 2002	Harmonized System 2002	Malta	'470'	2002	1	'0105192090'	  	 Live Geese*Weight=<185Gm*Not Kept For Sport,Recreation Or Hobby	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010519'	 -- Other	10	Y	R	
