QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01012101'	  	 Reproductores de raza pura.	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01012902'	  	 Sin pedigree, para reproducción.	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01012903'	  	 Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal.	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01012999'	  	 Los demás.	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01013001'	  	 Asnos.	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01019099'	  	 Los demás.	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01022101'	  	 Reproductores de raza pura.	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01022901'	  	 Vacas lecheras.	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01022902'	  	 Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción arancelaria 0102.29.01.	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01022999'	  	 Los demás.	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01023101'	  	 Reproductores de raza pura.	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01023999'	  	 Los demás.	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01029099'	  	 Los demás.	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01031001'	  	 Reproductores de raza pura.	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01039101'	  	 Con pedigree o certificado de alto registro.	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01039199'	  	 Los demás.	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01039201'	  	 Con pedigree o certificado de alto registro.	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01039299'	  	 Los demás.	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01041001'	  	 Con pedigree o certificado de alto registro.	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01041099'	  	 Los demás.	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01042001'	  	 Con pedigree o certificado de alto registro.	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01042002'	  	 Borrego cimarrón.	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2022	Harmonized System 2022	Mexico	'484'	2024	1	'01042099'	  	 Los demás.	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
