QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010121000'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010129100'	  	 Not provided	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010129900'	  	 Not provided	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010130000'	  	 - Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010190000'	  	 - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010221100'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010221300'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010221900'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229050'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229100'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229210'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229290'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229410'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229490'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229510'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229590'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229610'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229690'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229910'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010229990'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010231000'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010239100'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010239900'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010290200'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010290910'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010290990'	  	 Not provided	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010310000'	  	 - Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010391100'	  	 Not provided	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010391900'	  	 Not provided	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010392110'	  	 Not provided	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010392190'	  	 Not provided	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010392900'	  	 Not provided	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010410100'	  	 Not provided	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010410300'	  	 Not provided	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010410800'	  	 Not provided	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010420100'	  	 Not provided	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010420900'	  	 Not provided	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010511110'	  	 Not provided	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010511190'	  	 Not provided	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010511910'	  	 Not provided	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010511990'	  	 Not provided	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010512000'	  	 - - Turkeys	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 - - Turkeys	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010513000'	  	 - - Ducks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 - - Ducks	9	1	R	
	HS 2017	Harmonized System 2017	Moldova, Republic of	'498'	2022	1	'010514000'	  	 - - Geese	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 - - Geese	9	1	R	
