QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01012100'	  	'02'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01012900'	  	'02'	'000'	5.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01012900'	  	'10'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rates for Japan	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01013000'	  	'02'	'000'	5.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01013000'	  	'10'	'000'	0.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rates for Japan	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01019000'	  	'02'	'000'	5.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01019000'	  	'10'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rates for Japan	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01022110'	  	'02'	'000'	0.00		A			 --- Bovine animals, including bulls and oxes	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01022120'	  	'02'	'000'	0.00		A			 --- Yak	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01022910'	  	'02'	'000'	5.00		A			 --- Bovine animals, including bulls and oxes	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01022910'	  	'10'	'000'	0.00		A			 --- Bovine animals, including bulls and oxes	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rates for Japan	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Mongolia	'496'	2024	1	'01022920'	  	'02'	'000'	5.00		A			 --- Yak	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
