QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010121000000'	  	 - - Reproductores de raza pura	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010129000000'	  	 - - Los demás	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010130000000'	  	 - Asnos	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010190000000'	  	 - Los demás	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010221000000'	  	 - - Reproductores de raza pura	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010229000000'	  	 - - Los demás	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010231000000'	  	 - - Reproductores de raza pura	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010239000000'	  	 - - Los demás	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290100000'	  	 - - Reproductores de raza pura	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010290900000'	  	 - - Otros	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010310000000'	  	 - Reproductores de raza pura	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010391000000'	  	 - - De peso inferior a 50 kg	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010392000000'	  	 - - De peso superior o igual a 50 kg	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410100000'	  	 - - Reproductores de raza pura	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010410900000'	  	 - - Otros	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010420100000'	  	 - - Reproductores de raza pura	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010420900000'	  	 - - Otros	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010511000000'	  	 - - Aves de la especie Gallus domesticus	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010512000000'	  	 - - Pavos (gallipavos)	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010513000000'	  	 - - Patos	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 -- Ducks	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010514000000'	  	 - - Gansos	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 -- Geese	12	1	R	
	HS 2022	Harmonized System 2022	Nicaragua	'558'	2024	1	'010515000000'	  	 - - Pintadas	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 -- Guinea fowls	12	1	R	
