QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012100'	  	'02'	'000'		5000.00 NOK pr.item	S			 -- Pure-bred breeding animals	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012100'	  	'1B'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Great Britain		
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012100'	  	'20'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	EFTA-EEC free-trade agreement duty rate for the EEC	20- Preferential duties: Zone-zone duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012100'	  	'45'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Generalized System of Preferences, GSP+ scheme	45- Preferential duties: GSP duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012100'	  	'50'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012902'	  	'02'	'000'		37.61 NOK pr.kg	S			 --- Of a weight less than 133 kg	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012902'	  	'1B'	'000'	0.00		A			 --- Of a weight less than 133 kg	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Great Britain		
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012902'	  	'20'	'000'	0.00		A			 --- Of a weight less than 133 kg	Not applicable/not available	Ad valorem duty	-	EFTA-EEC free-trade agreement duty rate for the EEC	20- Preferential duties: Zone-zone duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012902'	  	'45'	'000'	0.00		A			 --- Of a weight less than 133 kg	Not applicable/not available	Ad valorem duty	-	Generalized System of Preferences, GSP+ scheme	45- Preferential duties: GSP duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012902'	  	'50'	'000'	0.00		A			 --- Of a weight less than 133 kg	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012908'	  	'02'	'000'		5000.00 NOK pr.item	S			 --- Other	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012908'	  	'1B'	'000'	0.00		A			 --- Other	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rate for Great Britain		
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012908'	  	'20'	'000'	0.00		A			 --- Other	Not applicable/not available	Ad valorem duty	-	EFTA-EEC free-trade agreement duty rate for the EEC	20- Preferential duties: Zone-zone duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012908'	  	'45'	'000'	0.00		A			 --- Other	Not applicable/not available	Ad valorem duty	-	Generalized System of Preferences, GSP+ scheme	45- Preferential duties: GSP duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01012908'	  	'50'	'000'	0.00		A			 --- Other	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01013000'	  	'02'	'000'	0.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01019000'	  	'02'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01022100'	  	'02'	'000'		7500.00 NOK pr.item	S			 -- Pure-bred breeding animals	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01022100'	  	'50'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01022900'	  	'02'	'000'		37.61 NOK pr.kg	S			 -- Other	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01022900'	  	'50'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01023100'	  	'02'	'000'		7500.00 NOK pr.item	S			 -- Pure-bred breeding animals	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01023100'	  	'50'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01023900'	  	'02'	'000'		37.61 NOK pr.kg	S			 -- Other	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01023900'	  	'50'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01029000'	  	'02'	'000'		37.61 NOK pr.kg	S			 - Other	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01029000'	  	'50'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01031000'	  	'02'	'000'		1500.00 NOK pr.item	S			 - Pure-bred breeding animals	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01031000'	  	'50'	'000'	0.00		A			 - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01039100'	  	'02'	'000'		32.25 NOK pr.kg	S			 -- Weighing less than 50 kg	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01039100'	  	'50'	'000'	0.00		A			 -- Weighing less than 50 kg	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01039200'	  	'02'	'000'		46.58 NOK pr.kg	S			 -- Weighing 50 kg or more	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01039200'	  	'50'	'000'	0.00		A			 -- Weighing 50 kg or more	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01041000'	  	'02'	'000'		1000.00 NOK pr.item	S			 - Sheep	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01041000'	  	'50'	'000'	0.00		A			 - Sheep	Not applicable/not available	Ad valorem duty	-	Least Developed Countries (LDC) duties	50- Preferential duties: LDC duties	
	HS 2022	Harmonized System 2022	Norway	'578'	2024	1	'01042000'	  	'02'	'000'		500.00 NOK pr.item	S			 - Goats	Not applicable/not available	Specific duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
