QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01012100'	  	 - - PURE-BRED BREEDING ANIMALS	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01012900'	  	 - - OTHER	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01013000'	  	 - ASSES	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01019000'	  	 -OTHER	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01022110'	  	 - - - BULLS	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01022120'	  	 - - - COWS	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01022130'	  	 - - - OXEN	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01022190'	  	 - - - OTHER	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01022910'	  	 - - - BULLS	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	Pakistan	'586'	2022	1	'01022920'	  	 - - - COWS	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
