QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01012100'	  	'02'	'000'	0.00		A			 - - Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01012900'	  	'02'	'000'	0.00		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01013000'	  	'02'	'000'	3.60		A			 - Asnos	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01019000'	  	'02'	'000'	3.60		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01022110'	  	'02'	'000'	0.00		A			 Preñadas o con cría al pie	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01022190'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01022911'	  	'02'	'000'	0.00		A			 Preñadas o con cría al pie	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01022919'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01022990'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01023110'	  	'02'	'000'	0.00		A			 Preñadas o con cría al pie	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01023190'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01023911'	  	'02'	'000'	0.00		A			 Preñadas o con cría al pie	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01023919'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01023990'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01029000'	  	'02'	'000'	0.00		A			 - Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01031000'	  	'02'	'000'	0.00		A			 - Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01039100'	  	'02'	'000'	0.00		A			 - - De peso inferior a 50 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01039200'	  	'02'	'000'	0.00		A			 - - De peso superior o igual a 50 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01041011'	  	'02'	'000'	0.00		A			 Preñadas o con cría al pie	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01041019'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01041090'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01042010'	  	'02'	'000'	0.00		A			 Reproductores de raza pura	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01042090'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01051110'	  	'02'	'000'	0.00		A			 De líneas puras o híbridas, para reproducción	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01051190'	  	'02'	'000'	0.00		A			 Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01051200'	  	'02'	'000'	0.00		A			 - - Pavos (gallipavos)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01051300'	  	'02'	'000'	0.00		A			 - - Patos	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01051400'	  	'02'	'000'	0.00		A			 - - Gansos	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01051500'	  	'02'	'000'	0.00		A			 - - Pintadas	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01059400'	  	'02'	'000'	3.60		A			 - - Aves de la especie Gallus domesticus	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01059900'	  	'02'	'000'	3.60		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01061100'	  	'02'	'000'	3.60		A			 - - Primates	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01061200'	  	'02'	'000'	3.60		A			 - - Ballenas, delfines y marsopas (mamíferos del orden Cetacea); manatíes y dugones o dugongos (mamíferos del orden Sirenia); otarios y focas, leones marinos y morsas (mamíferos del suborden Pinnipedia)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01061300'	  	'02'	'000'	3.60		A			 - - Camellos y demás camélidos (Camelidae)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01061400'	  	'02'	'000'	3.60		A			 - - Conejos y liebres	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01061900'	  	'02'	'000'	3.60		A			 - - Los demás	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01062000'	  	'02'	'000'	3.60		A			 - Reptiles (incluidas las serpientes y tortugas de mar)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Paraguay	'600'	2023	1	'01063100'	  	'02'	'000'	3.60		A			 - - Aves de rapiña	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
