QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01012110'	  	 - - - Of Arab breed	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01012190'	  	 - - - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01012910'	  	 - - - Horses for sport	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01012920'	  	 - - - Ponies	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01012990'	  	 - - - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01013000'	  	 - Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01019000'	  	 - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01022100'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01022900'	  	 - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01023100'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01023900'	  	 - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01029000'	  	 - Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01031000'	  	 - Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	A	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01039100'	  	 - - Weighing less than 50 kg	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	8	1	A	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01039200'	  	 - - Weighing 50 kg or more	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	8	1	A	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01041010'	  	 - - - Pure- bred breeding animals	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01041090'	  	 - - - Other	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01042010'	  	 - - - Pure- bred breeding animals	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01042090'	  	 - - - Other	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01051100'	  	 - - Fowls of the species Gallus domesticus	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01051200'	  	 - - Turkeys	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 - - Turkeys	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01051300'	  	 - - Ducks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 - - Ducks	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01051400'	  	 - - Geese	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 - - Geese	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01051500'	  	 - - Guinea fowls	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 - - Guinea fowls	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01059410'	  	 - - - Layers	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01059420'	  	 - - - Broilers	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01059430'	  	 - - -For hatching	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01059490'	  	 - - - Other	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 - - Fowls of the species Gallus domesticus	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01059910'	  	 - - - Tame ducks and geesse	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01059920'	  	 - - - Turkeys	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01059990'	  	 - - - Other	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061100'	  	 - - Primates	'01'	Live animals	'0106'	Other live animals.	'010611'	 - - Primates	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061200'	  	 - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)	'01'	Live animals	'0106'	Other live animals.	'010612'	 - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of 	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061310'	  	 ---Pure-bred breeding camels	'01'	Live animals	'0106'	Other live animals.	'010613'	 - - Camels and other camelids (Camelidae)	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061320'	  	 --- Camels for sport and beauty contests	'01'	Live animals	'0106'	Other live animals.	'010613'	 - - Camels and other camelids (Camelidae)	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061390'	  	 --- other	'01'	Live animals	'0106'	Other live animals.	'010613'	 - - Camels and other camelids (Camelidae)	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061400'	  	 - - Rabbits and hares	'01'	Live animals	'0106'	Other live animals.	'010614'	 - - Rabbits and hares	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061930'	  	 - - - Gazelles and deer	'01'	Live animals	'0106'	Other live animals.	'010619'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061940'	  	 - - - Dogs	'01'	Live animals	'0106'	Other live animals.	'010619'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061950'	  	 - - - Foxes, minks and other fur animals	'01'	Live animals	'0106'	Other live animals.	'010619'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061960'	  	 - - - Animals for zoos, fairs, scientific experiments and research labs	'01'	Live animals	'0106'	Other live animals.	'010619'	 - - Other	8	1	R	
	HS 2017	Harmonized System 2017	Qatar	'634'	2021	1	'01061990'	  	 - - - Other	'01'	Live animals	'0106'	Other live animals.	'010619'	 - - Other	8	1	R	
