QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01012100000'	  	'02'	'000'	0.00		A			 Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01012910000'	  	'02'	'000'	0.00		A			 Race horses, not for breeding	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01012990000'	  	'02'	'000'	40.00		A			 Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01012990000'	  	'10'	'000'	0.00		A			 Other	Not applicable/not available	Ad valorem duty	-	Preferential tariff for CARICOM countries	10- Preferential duties: Free-trade area	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01012990000'	  	'20'	'000'	0.00		A			 Other	Not applicable/not available	Ad valorem duty	-	CARIFORUM-EU Economic Partnership Agreement (EPA)	20- Preferential duties: Zone-zone duties	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01013010000'	  	'02'	'000'	0.00		A			 Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01013090000'	  	'02'	'000'	40.00		A			 Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01013090000'	  	'10'	'000'	0.00		A			 Other	Not applicable/not available	Ad valorem duty	-	Preferential tariff for CARICOM countries	10- Preferential duties: Free-trade area	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01013090000'	  	'20'	'000'	0.00		A			 Other	Not applicable/not available	Ad valorem duty	-	CARIFORUM-EU Economic Partnership Agreement (EPA)	20- Preferential duties: Zone-zone duties	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01019000000'	  	'02'	'000'	40.00		A			 Other	Not applicable/not available	Ad valorem duty	-	MFN duties (Applied)	02- MFN statutory (legal/autonomous) duty	
