QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01012100000'	  	 Pure-bred breeding animals	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01012910000'	  	 Race horses, not for breeding	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01012990000'	  	 Other	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01013010000'	  	 Pure-bred breeding animals	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01013090000'	  	 Other	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01019000000'	  	 Other	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01022110000'	  	 Bulls	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01022120000'	  	 Cows	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01022910000'	  	 Bulls, for breeding	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01022920000'	  	 Bulls, for rearing, weighing not more than 270 kg	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01022930000'	  	 Other bulls	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01022940000'	  	 Cows, for breeding	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01022950000'	  	 Cows, for rearing, weighing not more than 270 kg	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01022960000'	  	 Other cows	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01023100000'	  	 Pure-bred breeding animals	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01023900000'	  	 Other	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010239'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01029000000'	  	 Other	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01031000000'	  	 Purebred breeding animals	'01'	LIVE ANIMALS	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01039110000'	  	 For breeding	'01'	LIVE ANIMALS	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01039190000'	  	 Other	'01'	LIVE ANIMALS	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01039210000'	  	 For breeding	'01'	LIVE ANIMALS	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01039290000'	  	 Other	'01'	LIVE ANIMALS	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01041010000'	  	 For breeding	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01041020000'	  	 For rearing	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01041090000'	  	 Other	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01042010000'	  	 For breeding	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01042020000'	  	 For rearing	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01042090000'	  	 Other	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051110000'	  	 For breeding	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051120000'	  	 For rearing	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051190000'	  	 Other	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051210000'	  	 For breeding	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051220000'	  	 For rearing	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051290000'	  	 Other	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051310000'	  	 For breeding	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 -- Ducks	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051320000'	  	 For rearing	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 -- Ducks	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051390000'	  	 Other	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 -- Ducks	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051410000'	  	 For breeding	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 -- Geese	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051420000'	  	 For rearing	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 -- Geese	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051490000'	  	 Other	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 -- Geese	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051510000'	  	 For breeding	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 -- Guinea fowls	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051520000'	  	 For rearing	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 -- Guinea fowls	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01051590000'	  	 Other	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 -- Guinea fowls	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01059410000'	  	 Cocks for breeding	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01059420000'	  	 Cocks for rearing	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01059430000'	  	 Hens for breeding	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01059440000'	  	 Hens for rearing	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01059490000'	  	 Other	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 -- Fowls of the species Gallus domesticus	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01059910000'	  	 For breeding	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01059920000'	  	 For rearing	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01059990000'	  	 Other	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01061110000'	  	 Monkeys	'01'	LIVE ANIMALS	'0106'	Other live animals.	'010611'	 -- Primates	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01061190000'	  	 Other	'01'	LIVE ANIMALS	'0106'	Other live animals.	'010611'	 -- Primates	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01061200000'	  	 Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugo	'01'	LIVE ANIMALS	'0106'	Other live animals.	'010612'	 -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of t	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01061300000'	  	 Camels and other camelids (Camedidae)	'01'	LIVE ANIMALS	'0106'	Other live animals.	'010613'	 -- Camels and other camelids (Camelidae)	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01061400000'	  	 Rabbits and hares	'01'	LIVE ANIMALS	'0106'	Other live animals.	'010614'	 -- Rabbits and hares	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01061910000'	  	 Dogs	'01'	LIVE ANIMALS	'0106'	Other live animals.	'010619'	 -- Other	11	1	R	
	HS 2012	Harmonized System 2012	Saint Lucia	'662'	2021	1	'01061920000'	  	 Cats	'01'	LIVE ANIMALS	'0106'	Other live animals.	'010619'	 -- Other	11	1	R	
