QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01011000000'	  	 PURE-BRED BREEDING ANIMALS	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01019010000'	  	 RACE HORSES, NOT FOR BREEDING.	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01019090000'	  	 OTHER	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01021010000'	  	 BULLS	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01021020000'	  	 COWS	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01029010000'	  	 BULLS, FOR BREEDING	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01029020000'	  	 BULLS, FOR REARING, WEIGHING NOT MORE THAN 270KG	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01029030000'	  	 OTHER, BULLS	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01029040000'	  	 COWS, FOR BREEDING	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01029050000'	  	 COWS, FOR REARING, WEIGHING NOT MORE THAN 270KG	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2007	Harmonized System 2007	Saint Vincent and the Grenadines	'670'	2020	1	'01029060000'	  	 OTHER,COWS	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
