QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010121100001'	  	'02'	'000'	0.00		A			 Of Arab breed males	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010121100002'	  	'02'	'000'	0.00		A			 Of Arab breed females	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010121900001'	  	'02'	'000'	0.00		A			 Of non-Arab breed males	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010121900002'	  	'02'	'000'	0.00		A			 Of non-Arab breed females	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010129100001'	  	'02'	'000'	0.00		A			 Males of Arab breed for sport	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010129100002'	  	'02'	'000'	0.00		A			 Females of Arab breed for sport	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010129100003'	  	'02'	'000'	0.00		A			 Males of non-Arab breed for sport	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010129100004'	  	'02'	'000'	0.00		A			 Females of non-Arab breed for sport	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010129200001'	  	'02'	'000'	0.00		A			 Ponies (males)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010129200002'	  	'02'	'000'	0.00		A			 Ponies (females)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010129900001'	  	'02'	'000'	0.00		A			 Pure-bred Arab horses for beauty contests and competitions	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010129900002'	  	'02'	'000'	0.00		A			 Arab horses of foreign breeds for beauty contests and competitions	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Saudi Arabia, Kingdom of	'682'	2022	1	'010129900003'	  	'02'	'000'	0.00		A			 Non-Arab horses for beauty contests and competitions	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
