QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01012100'	  	'02'	'000'	0.00		A			 PURE BRED BREEDING HORSES (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01012900'	  	'02'	'000'	0.00		A			 OTHER LIVE HORSES (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01013010'	  	'02'	'000'	0.00		A			 PURE BRED BREEDING ASSES (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01013090'	  	'02'	'000'	0.00		A			 OTHER LIVE ASSES (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01019000'	  	'02'	'000'	0.00		A			 LIVE MULES & HINNIES (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01022100'	  	'02'	'000'	0.00		A			 PURE BRED BREEDING CATTLE (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01022911'	  	'02'	'000'	0.00		A			 OTHER LIVE OXEN CATTLE (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01022919'	  	'02'	'000'	0.00		A			 OTHER LIVE MALE CATTLE (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01022990'	  	'02'	'000'	0.00		A			 OTHER LIVE CATTLE (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Singapore	'702'	2023	1	'01023100'	  	'02'	'000'	0.00		A			 PURE BRED BREEDING BUFFALO (NMB)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
