QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01011010'	  	 - - Horses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01011090'	  	 - - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01019011'	  	 - - - For slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01019019'	  	 - - - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01019030'	  	 - - Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01019090'	  	 - - Mules and hinnies	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01021010'	  	 - - Heifers (female bovines that have never calved)	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01021030'	  	 - - Cows	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01021090'	  	 - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029005'	  	 - - - Of a weight not exceeding 80 kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029021'	  	 - - - - For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029029'	  	 - - - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029041'	  	 - - - - For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029049'	  	 - - - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029051'	  	 - - - - - For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029059'	  	 - - - - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029061'	  	 - - - - - For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029069'	  	 - - - - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029071'	  	 - - - - - For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029079'	  	 - - - - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01029090'	  	 - - Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01031000'	  	 - Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01039110'	  	 - - - Domestic species	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01039190'	  	 - - - Other	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01039211'	  	 - - - - Sows having farrowed at least once, of a weight of not  less than 160 kg	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01039219'	  	 - - - - Other	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01039290'	  	 - - - Other	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01041010'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01041030'	  	 - - - Lambs (up to a year old)	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01041080'	  	 - - - Other	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01042010'	  	 - - Pure-bred breeding animals	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01042090'	  	 - - Other	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01051111'	  	 - - - - Laying stocks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01051119'	  	 - - - - Other	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01051191'	  	 - - - - Laying stocks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01051199'	  	 - - - - Other	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01051200'	'00'	 - - Turkeys	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	8	Y	R	
	HS 2002	Harmonized System 2002	Slovenia	'705'	2003	1	'01051200'	'01'	 - - -Breeding animals	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	8	Y	R	
