QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01012100'	  	'02'	'000'	15.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01012100'	  	'11'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rates for Pakistan	11- Preferential duties: Free-trade area	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01012100'	  	'12'	'000'	5.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rates for South Asian Free Trade Agreement (SAFTA)	12- Preferential duties: Free-trade area	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01012100'	  	'32'	'000'	4.50		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Free-trade agreement duty rates for least-developed Countries under the South Asia Free Trade Agreement (SAFTA)	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01012900'	  	'02'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01013000'	  	'02'	'000'	0.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01019000'	  	'02'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01022100'	  	'02'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01022900'	  	'02'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Sri Lanka	'144'	2017	1	'01023100'	  	'02'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
