QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01011000'	  	 - Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010110'	 - Pure-bred breeding animals	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01019010'	  	 Race horses, not for breeding	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01019090'	  	 Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01021010'	  	 Bulls	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01021020'	  	 Cows	'01'	Live animals	'0102'	Live bovine animals.	'010210'	 - Pure-bred breeding animals	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01029010'	  	 Bulls, for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01029020'	  	 Bulls, for rearing, weighing not more than 270 kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01029030'	  	 Other, bulls	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01029040'	  	 Cows, for breeding	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01029050'	  	 Cows, for rearing, weighing not more than 270 kg	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2007	Harmonized System 2007	Suriname	'740'	2024	1	'01029060'	  	 Other, cows	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
