QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01012100'	  	'02'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01012900'	  	'02'	'000'	25.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01012900'	  	'10'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	East African Community Customs Union free-trade area	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01013010'	  	'02'	'000'	0.00		A			 --- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01013090'	  	'02'	'000'	25.00		A			 --- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01013090'	  	'10'	'000'	0.00		A			 --- Other	Not applicable/not available	Ad valorem duty	-	East African Community Customs Union free-trade area	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01019010'	  	'02'	'000'	0.00		A			 --- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01019090'	  	'02'	'000'	25.00		A			 --- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01019090'	  	'10'	'000'	0.00		A			 --- Other	Not applicable/not available	Ad valorem duty	-	East African Community Customs Union free-trade area	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01022100'	  	'02'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01022900'	  	'02'	'000'	35.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01022900'	  	'10'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	East African Community Customs Union free-trade area	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01023100'	  	'02'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01023900'	  	'02'	'000'	35.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01023900'	  	'10'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	East African Community Customs Union free-trade area	10- Preferential duties: Free-trade area	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01029010'	  	'02'	'000'	0.00		A			 --- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Tanzania	'834'	2023	1	'01029090'	  	'02'	'000'	35.00		A			 --- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
