QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01012100'	  	 -- Pure-bred breeding animals	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01012910'	  	 RACE HORSES, NOT FOR BREEDING	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01012990'	  	 OTHER LIVE HORSES:	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01013010'	  	 ASSES: PURE-BRED BREEDING ANIMALS	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01013090'	  	 OTHER LIVE ASSES:	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01019000'	  	 - Other	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01022110'	  	 PURE-BRED BREEDING ANIMALS: BULLS	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01022120'	  	 PURE-BRED BREEDING ANIMALS: COWS	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01022910'	  	 BULLS, FOR BREEDING	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01022920'	  	 BULLS, FOR REARING, WEIGHING NOT MORE THAN 270 KG	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01022930'	  	 OTHER BULLS	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01022940'	  	 COWS, FOR BREEDING	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01022950'	  	 COWS, FOR REARING, WEIGHING NOT MORE THAN 270 KG	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01022960'	  	 OTHER COWS	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01023100'	  	 -- Pure-bred breeding animals	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01023900'	  	 -- Other	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010239'	 -- Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01029000'	  	 - Other	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01031000'	  	 - Pure-bred breeding animals	'01'	LIVE ANIMALS	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01039110'	  	 SWINE FOR BREEDING WEIGHING < 50 KG	'01'	LIVE ANIMALS	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01039190'	  	 OTHER SWINE WEIGHING < 50 KG	'01'	LIVE ANIMALS	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01039210'	  	 SWINE FOR BREEDING WEIGHING >= 50 KG	'01'	LIVE ANIMALS	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01039290'	  	 OTHER SWINE WEIGHING >= 50 KG	'01'	LIVE ANIMALS	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01041010'	  	 SHEEP FOR BREEDING	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
	HS 2012	Harmonized System 2012	Trinidad and Tobago	'780'	2023	1	'01041020'	  	 SHEEP FOR REARING	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	8	1	R	
