QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010121000'	  	 -- Reproducteurs de race pure	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010129100'	  	 --- destinés à la boucherie*	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010129900'	  	 --- autres*.	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010130000'	  	 - Anes	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010190000'	  	 - Autres	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010221100'	  	 --- Génisses ( bovins femelles qui n'ont jamais vélé)*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010221300'	  	 --- vaches*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010221900'	  	 --- autres*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229051'	  	 ----- veaux*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229052'	  	 ----- taurillons*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229053'	  	 ----- Autres*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229059'	  	 ---- autres*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229101'	  	 ------ taurillons*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229102'	  	 ------ veaux*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229106'	  	 ------ autres*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229109'	  	 ----- autres*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229211'	  	 ------ taurillons*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229212'	  	 ------ veaux*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229219'	  	 ------ autres*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229290'	  	 ----- autres *.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229411'	  	 ------ taurillons*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229412'	  	 ------ veaux*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229419'	  	 ------ autres*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229490'	  	 ----- autres*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229510'	  	 ------ déstinés à la boucherie*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229590'	  	 ------ autres:	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229610'	  	 ------ destinés à la boucherie *.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229690'	  	 ------ autres *	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229911'	  	 ------- veaux*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229912'	  	 ------- taurillons*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229919'	  	 ------- Autres*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010229990'	  	 ------ autres*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010231000'	  	 -- Reproducteurs de race pure	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010239100'	  	 --- des espèces domestiques*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010239'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010239900'	  	 --- autres*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010239'	 -- Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010290200'	  	 -- Reproducteurs de race pure*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010290910'	  	 --- des espèces domestiques*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010290991'	  	 ----- veaux*.	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010290992'	  	 ----- taurillons*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	9	1	R	
	HS 2012	Harmonized System 2012	Tunisia	'788'	2016	1	'010290993'	  	 ----- Autres*	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	9	1	R	
