QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101210000'	  	'02'	'000'	0.00		A			 – –  Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101291000'	  	'02'	'000'	5.00		A			 – – –  For slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101299000'	  	'02'	'000'	5.00		A			 – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101300000'	  	'02'	'000'	5.00		A			 –  Asses	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101900000'	  	'02'	'000'	5.00		A			 –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102211000'	  	'02'	'000'	0.00		A			 – – –  Heifers (female bovines that have never calved)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102213000'	  	'02'	'000'	0.00		A			 – – –  Cows	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102219000'	  	'02'	'000'	0.00		A			 – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102290500'	  	'02'	'000'	5.00		A			 – – –  Of the sub-genus Bibos or of the sub-genus Poephagus	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102291000'	  	'02'	'000'	5.00		A			 – – – –  Of a weight not exceeding 80 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102292100'	  	'02'	'000'	5.00		A			 – – – – –  For slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102292900'	  	'02'	'000'	5.00		A			 – – – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102294100'	  	'02'	'000'	5.00		A			 – – – – –  For slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102294900'	  	'02'	'000'	15.00		A			 – – – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102295100'	  	'02'	'000'	5.00		A			 – – – – – –  For slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102295900'	  	'02'	'000'	5.00		A			 – – – – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102296100'	  	'02'	'000'	5.00		A			 – – – – – –  For slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102296900'	  	'02'	'000'	5.00		A			 – – – – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102299100'	  	'02'	'000'	5.00		A			 – – – – – –  For slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102299900'	  	'02'	'000'	5.00		A			 – – – – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102310000'	  	'02'	'000'	0.00		A			 – –  Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102391000'	  	'02'	'000'	5.00		A			 – – –  Domestic species	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102399000'	  	'02'	'000'	5.00		A			 – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102902000'	  	'02'	'000'	0.00		A			 – –  Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102909100'	  	'02'	'000'	5.00		A			 – – –  Domestic species	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102909900'	  	'02'	'000'	5.00		A			 – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0103100000'	  	'02'	'000'	0.00		A			 –  Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0103911000'	  	'02'	'000'	5.00		A			 – – –  Domestic species	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0103919000'	  	'02'	'000'	5.00		A			 – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0103921100'	  	'02'	'000'	8.00		A			 – – – –  Sows having farrowed at least once, of a weight of not less than 160 kg	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0103921900'	  	'02'	'000'	8.00		A			 – – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0103929000'	  	'02'	'000'	8.00		A			 – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0104101000'	  	'02'	'000'	0.00		A			 – –  Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0104103000'	  	'02'	'000'	2.00		A			 – – –  Lambs (up to a year old)	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0104108000'	  	'02'	'000'	2.00		A			 – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0104201000'	  	'02'	'000'	2.00		A			 – –  Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0104209000'	  	'02'	'000'	2.00		A			 – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105111100'	  	'02'	'000'	0.00		A			 – – – –  Laying stocks	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105111900'	  	'02'	'000'	0.00		A			 – – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105119100'	  	'02'	'000'	0.00		A			 – – – –  Laying stocks	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105119900'	  	'02'	'000'	0.00		A			 – – – –  Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105120000'	  	'02'	'000'	2.00		A			 – –  Turkeys	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105130000'	  	'02'	'000'	2.00		A			 – –  Ducks	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105140000'	  	'02'	'000'	2.00		A			 – –  Geese	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105150000'	  	'02'	'000'	2.00		A			 – –  Guinea fowls	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105940010'	  	'02'	'000'	0.00		A			 – – – Chickens 90 – 120 days old	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0105940090'	  	'02'	'000'	10.00		A			 – – – Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
