QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101210000'	  	 – –  Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101291000'	  	 – – –  For slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101299000'	  	 – – –  Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101300000'	  	 –  Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0101900000'	  	 –  Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102211000'	  	 – – –  Heifers (female bovines that have never calved)	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102213000'	  	 – – –  Cows	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102219000'	  	 – – –  Other	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102290500'	  	 – – –  Of the sub-genus Bibos or of the sub-genus Poephagus	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102291000'	  	 – – – –  Of a weight not exceeding 80 kg	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102292100'	  	 – – – – –  For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102292900'	  	 – – – – –  Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102294100'	  	 – – – – –  For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102294900'	  	 – – – – –  Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102295100'	  	 – – – – – –  For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102295900'	  	 – – – – – –  Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102296100'	  	 – – – – – –  For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102296900'	  	 – – – – – –  Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102299100'	  	 – – – – – –  For slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102299900'	  	 – – – – – –  Other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102310000'	  	 – –  Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102391000'	  	 – – –  Domestic species	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102399000'	  	 – – –  Other	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102902000'	  	 – –  Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102909100'	  	 – – –  Domestic species	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0102909900'	  	 – – –  Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0103100000'	  	 –  Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Ukraine	'804'	2024	1	'0103911000'	  	 – – –  Domestic species	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	10	1	R	
