QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01012100'	  	 -- Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01012910'	  	 Horses for slaughter	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01012990'	  	 Live horses (excl. for slaughter, pure-bred for breeding)	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01013000'	  	 - Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01019000'	  	 - Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022110'	  	 Pure-bred breeding heifers "female bovines that have never calved"	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022130'	  	 Pure-bred breeding cows (excl. heifers)	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022190'	  	 Pure-bred cattle for breeding (excl. heifers and cows)	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022905'	  	 Live cattle of the sub-genus Bibos or Poephagus (excl. pure-bred for breeding)	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022910'	  	 Live cattle of a weight <= 80 kg (excl. pure-bred for breeding)	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022921'	  	 Cattle of a weight > 80 kg but <= 160 kg, for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022929'	  	 Live cattle of a weight > 80 kg but <= 160 kg (excl. for slaughter, pure-bred for breeding)	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022941'	  	 Cattle of a weight > 160 kg but <= 300 kg, for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022949'	  	 Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022951'	  	 Heifers "female bovines that have never calved" of a weight > 300 kg, for slaughter	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022959'	  	 Live heifers "female bovines that have never calved" of a weight > 300 kg (excl. for slaughter and pure-bred for breeding)	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022961'	  	 Cows of a weight > 300 kg, for slaughter (excl. heifers)	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022969'	  	 Live cows of a weight > 300 kg (excl. for slaughter and pure-bred for breeding and heifers)	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022991'	  	 Cattle of a weight > 300 kg, for slaughter (excl. heifers and cows)	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01022999'	  	 Live cattle of a weight > 300 kg (excl. for slaughter, pure-bred for breeding and heifers and cows)	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01023100'	  	 -- Pure-bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01023910'	  	 Live domestic buffalo (excl. pure-bred for breeding)	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01023990'	  	 Live buffalo (excl. domestic species and pure-bred for breeding)	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01029020'	  	 Bovine pure-bred breeding animals (excl. cattle and buffalo)	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01029091'	  	 Live domestic bovine animals (excl. cattle and buffalo and pure-bred for breeding)	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01029099'	  	 Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01031000'	  	 - Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01039110'	  	 Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01039190'	  	 Live non-domestic swine, weighing < 50 kg	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	8	1	R	
	HS 2022	Harmonized System 2022	United Kingdom	'826'	2023	1	'01039211'	  	 Live domestic sows, having farrowed at least once, weighing >= 160 kg (excl. pure-bred for breeding)	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	8	1	R	
