QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0101210000'	  	 - -Reproductores de raza pura	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0101290010'	  	 de carrera (pura sangre de carrera)	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0101290020'	  	 para polo	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0101290030'	  	 reproductores	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0101290091'	  	 aptos para faena o consumo	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0101290099'	  	 los dems	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0101300010'	  	 reproductores de raza pura	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0101300090'	  	 los dems	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0101900000'	  	 - Los dems	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102211010'	  	 razas de carne	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102211020'	  	 razas de leche	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102211030'	  	 razas de doble propsito	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102219010'	  	 razas de carne	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102219020'	  	 razas de leche	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102219030'	  	 razas de doble propsito	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102291110'	  	 puros por cruza u origen, seleccin raza de carne	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102291120'	  	 puros por cruza u origen, seleccin raza de leche	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102291130'	  	 puros por cruza u origen, seleccin raza de doble propsito	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102291190'	  	 los dems	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102291910'	  	 puros por cruza u origen, seleccin raza de carne	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102291920'	  	 puros por cruza u origen, seleccin raza de leche	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102291930'	  	 puros por cruza u origen, seleccin raza de doble propsito	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102291990'	  	 los dems	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102299010'	  	 vacas	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102299020'	  	 vaquillonas	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102299030'	  	 terneras	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102299040'	  	 novillos	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102299090'	  	 los dems	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102311000'	  	 preadas o con cra al pie	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102319000'	  	 los dems	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102391100'	  	 preadas o con cra al pie	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102391900'	  	 los dems	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102399000'	  	 los dems	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0102900000'	  	 - Los dems	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0103100000'	  	 - Reproductores de raza pura	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0103910000'	  	 - -De peso inferior a 50 kg	'01'	Live animals	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0103920000'	  	 - -De peso superior o igual a 50 kg	'01'	Live animals	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104101100'	  	 preadas o con cra al pie	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104101910'	  	 borregos o carneros	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104101990'	  	 los dems	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104109010'	  	 reproductores puros por cruza o puros de origen, simple o doble tatuaje	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104109021'	  	 con lana	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104109022'	  	 esquilados	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104109091'	  	 con lana	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104109092'	  	 esquilados	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104201000'	  	 reproductores de raza pura	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0104209000'	  	 los dems	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0105111000'	  	 de lneas puras o hbridas, para reproduccin	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0105119000'	  	 los dems	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	1	R	
	HS 2022	Harmonized System 2022	Uruguay	'858'	2023	1	'0105120000'	  	 - -Pavos (gallipavos)	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 -- Turkeys	10	1	R	
