QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01012100000'	  	 Pure-bred breeding animals	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010121'	 - - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01012900000'	  	 Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010129'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01013000000'	  	 Asses	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01019000000'	  	 Other	'01'	Live animals	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01022100000'	  	 Pure bred breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010221'	 - - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01022900000'	  	 other	'01'	Live animals	'0102'	Live bovine animals.	'010229'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01023100000'	  	 Pure bred-breeding animals	'01'	Live animals	'0102'	Live bovine animals.	'010231'	 - - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01023900000'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010239'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01029000000'	  	 Other	'01'	Live animals	'0102'	Live bovine animals.	'010290'	 - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01031000000'	  	 Pure-bred breeding animals	'01'	Live animals	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01039100000'	  	 Weighing less than 50kg	'01'	Live animals	'0103'	Live swine.	'010391'	 - - Weighing less than 50 kg	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01039200000'	  	 Weighing 50kg or more	'01'	Live animals	'0103'	Live swine.	'010392'	 - - Weighing 50 kg or more	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01041000000'	  	 Sheep	'01'	Live animals	'0104'	Live sheep and goats.	'010410'	 - Sheep	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01042000000'	  	 Goats	'01'	Live animals	'0104'	Live sheep and goats.	'010420'	 - Goats	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01051100000'	  	 Fowls of the species Gallus domesticus	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 - - Fowls of the species Gallus domesticus	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01051200000'	  	 Turkeys	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010512'	 - - Turkeys	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01051300000'	  	 Ducks	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010513'	 - - Ducks	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01051400000'	  	 Geese	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010514'	 - - Geese	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01051500000'	  	 Guinea fowls	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010515'	 - - Guinea fowls	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01059400000'	  	 Fowls of the species Gallus domesticus	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010594'	 - - Fowls of the species Gallus domesticus	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01059900000'	  	 Other	'01'	Live animals	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010599'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01061100000'	  	 Primates	'01'	Live animals	'0106'	Other live animals.	'010611'	 - - Primates	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01061200000'	  	 Whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia), seals, sea lions and walruses (mammals of the suborder Pinnipedia)	'01'	Live animals	'0106'	Other live animals.	'010612'	 - - Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of 	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01061300000'	  	 Camels and other camelids (Camelidae)	'01'	Live animals	'0106'	Other live animals.	'010613'	 - - Camels and other camelids (Camelidae)	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01061400000'	  	 Rabits and hares	'01'	Live animals	'0106'	Other live animals.	'010614'	 - - Rabbits and hares	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01061900000'	  	 Other	'01'	Live animals	'0106'	Other live animals.	'010619'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01062000000'	  	 Reptiles (including snakes and turtles)	'01'	Live animals	'0106'	Other live animals.	'010620'	 - Reptiles (including snakes and turtles)	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01063100000'	  	 Birds of prey	'01'	Live animals	'0106'	Other live animals.	'010631'	 - - Birds of prey	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01063200000'	  	 Psittaciformes (including parrots, parakeets, macaws and cockatoos)	'01'	Live animals	'0106'	Other live animals.	'010632'	 - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01063300000'	  	 Ostriches, emus (Dromaius novaehollandiae)	'01'	Live animals	'0106'	Other live animals.	'010633'	 - - Ostriches; emus (Dromaius novaehollandiae)	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01063900000'	  	 Other	'01'	Live animals	'0106'	Other live animals.	'010639'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01064100000'	  	 Bees	'01'	Live animals	'0106'	Other live animals.	'010641'	 - - Bees	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01064900000'	  	 Other	'01'	Live animals	'0106'	Other live animals.	'010649'	 - - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'01069000000'	  	 Other	'01'	Live animals	'0106'	Other live animals.	'010690'	 - Other	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'02011000000'	  	 Carcasses and half-carcasses	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020110'	 - Carcasses and half-carcasses	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'02012000000'	  	 Other cuts with bone in	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020120'	 - Other cuts with bone in	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'02013000000'	  	 Boneless	'02'	Meat and edible meat offal	'0201'	Meat of bovine animals, fresh or chilled.	'020130'	 - Boneless	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'02021000000'	  	 Carcasses and half-carcasses	'02'	Meat and edible meat offal	'0202'	Meat of bovine animals, frozen.	'020210'	 - Carcasses and half-carcasses	11	1	R	
	HS 2017	Harmonized System 2017	Vanuatu	'548'	2020	1	'02022000000'	  	 Other cuts with bone in	'02'	Meat and edible meat offal	'0202'	Meat of bovine animals, frozen.	'020220'	 - Other cuts with bone in	11	1	R	
