QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	TLDESC	Product	Product Description	HS4	HS4Desc	HS6	HS6Desc	Level	TL Level Flag	Record Status	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0101210000'	  	 --Reproductores de raza pura	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010121'	 -- Pure-bred breeding animals	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0101290000'	  	 --Los demás	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010129'	 -- Other	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0101300000'	  	 -Asnos	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010130'	 - Asses	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0101900000'	  	 -Los demás	'01'	LIVE ANIMALS	'0101'	Live horses, asses, mules and hinnies.	'010190'	 - Other	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102211000'	  	 ---Preñadas o con cría al pie	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102219000'	  	 ---Los demás	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010221'	 -- Pure-bred breeding animals	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102291100'	  	 ----Preñadas o con cría al pie	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102291900'	  	 ----Los demás	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102299000'	  	 ---Los demás	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010229'	 -- Other	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102311000'	  	 ---Preñadas o con cría al pie	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102319000'	  	 ---Los demás	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010231'	 -- Pure-bred breeding animals	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102391100'	  	 ----Preñadas o con cría al pie	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102391900'	  	 ----Los demás	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102399000'	  	 ---Los demás	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010239'	 -- Other	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0102900000'	  	 -Los demás	'01'	LIVE ANIMALS	'0102'	Live bovine animals.	'010290'	 - Other	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0103100000'	  	 -Reproductores de raza pura	'01'	LIVE ANIMALS	'0103'	Live swine.	'010310'	 - Pure-bred breeding animals	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0103910000'	  	 --De peso inferior a 50 kg	'01'	LIVE ANIMALS	'0103'	Live swine.	'010391'	 -- Weighing less than 50 kg	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0103920000'	  	 --De peso superior o igual a 50 kg	'01'	LIVE ANIMALS	'0103'	Live swine.	'010392'	 -- Weighing 50 kg or more	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0104101100'	  	 ---Preñadas o con cría al pie	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0104101900'	  	 ---Los demás	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0104109000'	  	 --Los demás	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010410'	 - Sheep	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0104201000'	  	 --Reproductores de raza pura	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0104209000'	  	 --Los demás	'01'	LIVE ANIMALS	'0104'	Live sheep and goats.	'010420'	 - Goats	10	1	R	
	HS 2012	Harmonized System 2012	Venezuela, Bolivarian Republic of	'862'	2016	1	'0105111000'	  	 ---De líneas puras o híbridas, para reproducción	'01'	LIVE ANIMALS	'0105'	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guin	'010511'	 -- Fowls of the species Gallus domesticus	10	1	R	
