QueryName	Base Nomenclature	Classification	Reporter	ReporterCode	Year	SubID	TL	TLS	Duty Type/Code	Partner	AV Duty Rate	Specific Duty Rate	Duty Nature	Binding Code	Binding Coverage Flag	Description1	Description2	Description3	Partner Name	National Description	Duty Description	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01012100'	  	'02'	'000'	5.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01012100'	  	'31'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01012100'	  	'32'	'000'	0.00		A			 -- Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01012900'	  	'02'	'000'	5.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01012900'	  	'31'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01012900'	  	'32'	'000'	0.00		A			 -- Other	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01013000'	  	'02'	'000'	5.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01013000'	  	'31'	'000'	0.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01013000'	  	'32'	'000'	0.00		A			 - Asses	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01019000'	  	'02'	'000'	5.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01019000'	  	'31'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01019000'	  	'32'	'000'	0.00		A			 - Other	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022110'	  	'02'	'000'	5.00		A			 Live Cattle: Bulls - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022110'	  	'31'	'000'	0.00		A			 Live Cattle: Bulls - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022110'	  	'32'	'000'	0.00		A			 Live Cattle: Bulls - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022120'	  	'02'	'000'	5.00		A			 Live cattle: Cows and calves - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022120'	  	'31'	'000'	0.00		A			 Live cattle: Cows and calves - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022120'	  	'32'	'000'	0.00		A			 Live cattle: Cows and calves - Pure-bred breeding animals	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022910'	  	'02'	'000'	5.00		A			 Other live cattle - Bulls	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022910'	  	'31'	'000'	0.00		A			 Other live cattle - Bulls	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022910'	  	'32'	'000'	0.00		A			 Other live cattle - Bulls	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022920'	  	'02'	'000'	5.00		A			 Other live cattle - Cows and calves	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022920'	  	'31'	'000'	0.00		A			 Other live cattle - Cows and calves	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01022920'	  	'32'	'000'	0.00		A			 Other live cattle - Cows and calves	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01023110'	  	'02'	'000'	5.00		A			 Live buffalo - Pure-bred breeding animals: Bulls	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01023110'	  	'31'	'000'	0.00		A			 Live buffalo - Pure-bred breeding animals: Bulls	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01023110'	  	'32'	'000'	0.00		A			 Live buffalo - Pure-bred breeding animals: Bulls	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01023120'	  	'02'	'000'	5.00		A			 Live buffalo - Pure-bred breeding animals: Cows and Calves	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01023120'	  	'31'	'000'	0.00		A			 Live buffalo - Pure-bred breeding animals: Cows and Calves	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01023120'	  	'32'	'000'	0.00		A			 Live buffalo - Pure-bred breeding animals: Cows and Calves	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01023900'	  	'02'	'000'			N			 -- Other	Not applicable/not available	Not applicable/not available	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01029010'	  	'02'	'000'	15.00		A			 -Other live bovine animals---For slaughter	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01029010'	  	'31'	'000'	0.00		A			 -Other live bovine animals---For slaughter	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01029010'	  	'32'	'000'	0.00		A			 -Other live bovine animals---For slaughter	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01029090'	  	'02'	'000'	5.00		A			 -Other live bovine animals---Other	Not applicable/not available	Ad valorem duty	-	MFN applied duty rates	02- MFN statutory (legal/autonomous) duty	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01029090'	  	'31'	'000'	0.00		A			 -Other live bovine animals---Other	Not applicable/not available	Ad valorem duty	-	Southern Africa Development Community (SADC) preferential duty rates	31- Preferential duties: Other preferences	
	HS 2012	Harmonized System 2012	Zambia	'894'	2016	1	'01029090'	  	'32'	'000'	0.00		A			 -Other live bovine animals---Other	Not applicable/not available	Ad valorem duty	-	Preferential duty rates for South Africa under SADC	32- Preferential duties: Other preferences	
